Ref	Passage	Observateur	Point	DateHeure	Espece	nMalAd10	nAutAd10	nMalAd5	nAutAd5	distMem
4446066	a	Cyrille Jallageas	194	2019-04-07 07:40:00	Mésange noire	1	0	1	0	24,96063302
4446096	a	Cyrille Jallageas	194	2019-04-07 07:41:00	Pinson des arbres	1	0	1	0	80,79148421
4446095	a	Cyrille Jallageas	194	2019-04-07 07:41:00	Pinson des arbres	1	0	1	0	102,5544749
4446097	a	Cyrille Jallageas	194	2019-04-07 07:42:00	Mésange bleue	1	0	1	0	43,72579774
4446098	a	Cyrille Jallageas	194	2019-04-07 07:42:00	Mésange nonnette	1	0	1	0	49,26185542
4446062	a	Cyrille Jallageas	194	2019-04-07 07:42:00	Bruant zizi	1	0	1	0	69,17289829
4446061	a	Cyrille Jallageas	194	2019-04-07 07:42:00	Pouillot véloce	1	0	1	0	102,2573978
4446099	a	Cyrille Jallageas	194	2019-04-07 07:43:00	Alouette des champs	2	0	2	0	73,10889205
4446101	a	Cyrille Jallageas	194	2019-04-07 07:44:00	Geai des chênes	0	1	0	1	30,34391037
4446100	a	Cyrille Jallageas	194	2019-04-07 07:44:00	Geai des chênes	0	1	0	1	65,96671079
4446102	a	Cyrille Jallageas	194	2019-04-07 07:44:00	Pigeon ramier	1	0	1	0	129,1692358
4446104	a	Cyrille Jallageas	194	2019-04-07 07:45:00	Grimpereau des jardins	1	0	0	0	81,45592085
4446103	a	Cyrille Jallageas	194	2019-04-07 07:45:00	Pigeon ramier	1	0	0	0	86,48085307
4446063	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Troglodyte mignon	1	0	0	0	36,01356792
4446064	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Alouette lulu	1	0	0	0	50,65581302
4446105	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Rougequeue noir	1	0	0	0	104,114803
4446106	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Tourterelle turque	1	1	0	0	134,5038419
4446065	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Mésange charbonnière	1	0	0	0	187,782343
4446107	a	Cyrille Jallageas	194	2019-04-07 07:47:00	Bruant jaune	1	0	0	0	31,1656735
4446110	a	Cyrille Jallageas	194	2019-04-07 07:48:00	Rougegorge familier	1	0	0	0	31,96055343
4446108	a	Cyrille Jallageas	194	2019-04-07 07:48:00	Fauvette à tête noire	1	0	0	0	53,69302842
4446109	a	Cyrille Jallageas	194	2019-04-07 07:48:00	Coucou gris	1	0	0	0	263,7923645
4446055	a	Cyrille Jallageas	194	2019-04-07 07:49:00	Pic vert	1	0	0	0	61,20936251
4446056	a	Cyrille Jallageas	194	2019-04-07 07:49:00	Pigeon ramier	1	0	0	0	72,15108986
4446057	a	Cyrille Jallageas	194	2019-04-07 07:50:00	Pic épeiche	0	1	0	0	83,26340442
4446058	a	Cyrille Jallageas	194	2019-04-07 07:50:00	Corneille noire	0	2	0	0	151,4262825
4446060	a	Cyrille Jallageas	194	2019-04-07 07:51:00	Pigeon ramier	1	0	0	0	98,00577395
4446059	a	Cyrille Jallageas	194	2019-04-07 07:51:00	Grive musicienne	1	0	0	0	245,9249071
