Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	151.2
ACDC	2400	23	2	184.2
ACDC	2400	23	2	115.5
ACDC	2400	39	2	63.5
ACDC	2400	39	2	133.9
ACDC	2400	39	2	47.0
ACDC	2400	39	2	77.5
ACDC	2400	40	2	88.4
ACDC	2400	40	2	130.0
ACDC	2400	40	2	187.2
ACDC	2400	40	2	249.6
ACDC	2400	41	2	
ACDC	2400	42	2	
ACDC	2400	55	2	
ACDC	2400	56	2	55.6
ACDC	2400	56	2	211.3
ACDC	2400	57	2	
ACDC	2400	58	2	119.5
ACDC	2400	58	2	114.0
ACDC	2400	58	2	202.9
ACDC	2400	59	2	166.8
ACDC	2400	60	2	55.6
ACDC	2400	60	2	91.7
ACDC	2400	72	2	
ACDC	2400	73	2	93.0
ACDC	2400	73	2	155.0
ACDC	2400	73	2	217.0
ACDC	2400	73	2	145.7
ACDC	2400	74	2	112.0
ACDC	2400	74	2	98.0
ACDC	2400	75	2	201.6
ACDC	2400	76	2	
ACDC	2400	88	2	
ACDC	2400	89	2	179.2
ACDC	2400	90	2	77.2
ACDC	2400	90	2	125.8
ACDC	2400	90	2	246.4
ACDC	2400	91	2	126.0
ACDC	2400	91	2	114.0
ACDC	2400	105	2	80.0
ACDC	2400	106	2	
ACDC	2400	109	2	189.7
ACDC	2400	109	2	127.3
ACDC	2400	110	2	
ACDC	2400	112	2	
ACDC	2400	113	2	
ACDC	2400	122	2	
ACDC	2400	123	2	
ACDC	2400	125	2	
ACDC	2400	126	2	189.7
ACDC	2400	126	2	142.4
ACDC	2400	126	2	60.6
ACDC	2400	126	2	146.9
ACDC	2400	127	2	61.2
ACDC	2400	127	2	181.8
ACDC	2400	127	2	127.3
ACDC	2400	128	2	232.6
ACDC	2400	129	2	
ACDC	2400	130	2	
ACDC	2400	141	2	
ACDC	2400	142	2	
ACDC	2400	143	2	174.4
ACDC	2400	143	2	58.1
ACDC	2400	143	2	101.0
ACDC	2400	143	2	181.8
ACDC	2400	143	2	78.8
ACDC	2400	143	2	72.7
ACDC	2400	144	2	45.9
ACDC	2400	144	2	48.5
ACDC	2400	145	2	224.0
ACDC	2400	145	2	144.6
ACDC	2400	146	2	140.0
ACDC	2400	146	2	155.7
ACDC	2400	146	2	50.4
ACDC	2400	146	2	72.8
ACDC	2400	147	2	
ACDC	2400	148	2	167.3
ACDC	2400	148	2	118.2
ACDC	2400	148	2	96.4
ACDC	2400	148	2	74.5
ACDC	2400	148	2	236.0
ACDC	2400	148	2	156.4
ACDC	2400	157	2	116.1
ACDC	2400	157	2	123.8
ACDC	2400	158	2	
ACDC	2400	159	2	
ACDC	2400	160	2	148.4
ACDC	2400	161	2	112.0
ACDC	2400	161	2	97.3
ACDC	2400	162	2	154.0
ACDC	2400	162	2	136.2
ACDC	2400	162	2	144.6
ACDC	2400	162	2	196.0
ACDC	2400	162	2	106.4
ACDC	2400	162	2	140.0
ACDC	2400	163	2	55.4
ACDC	2400	163	2	180.1
ACDC	2400	163	2	188.4
ACDC	2400	164	2	80.3
ACDC	2400	164	2	155.1
ACDC	2400	164	2	138.5
ACDC	2400	164	2	127.4
ACDC	2400	164	2	74.8
ACDC	2400	165	2	124.7
ACDC	2400	165	2	166.2
ACDC	2400	165	2	138.5
ACDC	2400	165	2	110.8
ACDC	2400	166	2	132.4
ACDC	2400	166	2	217.0
ACDC	2400	166	2	167.4
ACDC	2400	174	2	
ACDC	2400	175	2	82.9
ACDC	2400	176	2	
ACDC	2400	177	2	
ACDC	2400	178	2	144.0
ACDC	2400	178	2	196.7
ACDC	2400	178	2	163.4
ACDC	2400	178	2	108.0
ACDC	2400	178	2	144.0
ACDC	2400	178	2	138.5
ACDC	2400	179	2	113.6
ACDC	2400	179	2	166.2
ACDC	2400	179	2	113.6
ACDC	2400	179	2	49.9
ACDC	2400	179	2	83.1
ACDC	2400	179	2	94.2
ACDC	2400	179	2	182.8
ACDC	2400	179	2	41.5
ACDC	2400	179	2	119.1
ACDC	2400	179	2	166.2
ACDC	2400	179	2	169.0
ACDC	2400	180	2	169.4
ACDC	2400	181	2	104.7
ACDC	2400	182	2	120.5
ACDC	2400	182	2	156.9
ACDC	2400	182	2	70.3
ACDC	2400	183	2	183.9
ACDC	2400	183	2	75.7
ACDC	2400	183	2	243.8
ACDC	2400	183	2	243.8
ACDC	2400	183	2	95.6
ACDC	2400	183	2	106.4
ACDC	2400	183	2	196.0
ACDC	2400	183	2	120.8
ACDC	2400	183	2	39.7
ACDC	2400	184	2	228.0
ACDC	2400	184	2	147.9
ACDC	2400	184	2	184.0
ACDC	2400	184	2	188.2
ACDC	2400	184	2	158.9
ACDC	2400	184	2	129.6
ACDC	2400	184	2	154.4
ACDC	2400	185	2	175.0
ACDC	2400	185	2	87.7
ACDC	2400	185	2	94.7
ACDC	2400	185	2	114.0
ACDC	2400	185	2	191.1
ACDC	2400	192	2	
ACDC	2400	193	2	
ACDC	2400	194	2	127.3
ACDC	2400	194	2	168.3
ACDC	2400	194	2	236.3
ACDC	2400	194	2	97.9
ACDC	2400	195	2	153.0
ACDC	2400	195	2	159.1
ACDC	2400	195	2	72.7
ACDC	2400	195	2	107.1
ACDC	2400	196	2	122.4
ACDC	2400	196	2	163.6
ACDC	2400	197	2	85.7
ACDC	2400	197	2	149.9
ACDC	2400	198	2	45.5
ACDC	2400	198	2	300.0
ACDC	2400	198	2	110.2
ACDC	2400	198	2	168.3
ACDC	2400	199	2	121.2
ACDC	2400	199	2	115.1
ACDC	2400	199	2	145.4
ACDC	2400	199	2	186.7
ACDC	2400	199	2	73.4
ACDC	2400	199	2	76.5
ACDC	2400	200	2	76.5
ACDC	2400	200	2	122.4
ACDC	2400	200	2	121.2
ACDC	2400	200	2	184.8
ACDC	2400	201	2	102.0
ACDC	2400	201	2	175.0
ACDC	2400	201	2	180.0
ACDC	2400	202	2	135.7
ACDC	2400	202	2	105.8
ACDC	2400	202	2	75.9
ACDC	2400	202	2	138.0
ACDC	2400	210	2	74.5
ACDC	2400	210	2	89.4
ACDC	2400	210	2	138.3
ACDC	2400	210	2	87.2
ACDC	2400	211	2	98.2
ACDC	2400	211	2	27.8
ACDC	2400	211	2	53.7
ACDC	2400	211	2	100.0
ACDC	2400	211	2	90.7
ACDC	2400	211	2	70.4
ACDC	2400	211	2	64.8
ACDC	2400	212	2	105.5
ACDC	2400	213	2	
ACDC	2400	214	2	
ACDC	2400	215	2	120.0
ACDC	2400	215	2	96.0
ACDC	2400	215	2	100.0
ACDC	2400	215	2	96.0
ACDC	2400	216	2	116.3
ACDC	2400	216	2	107.8
ACDC	2400	216	2	73.9
ACDC	2400	218	2	
ACDC	2400	219	2	84.6
ACDC	2400	219	2	123.8
ACDC	2400	228	2	118.4
ACDC	2400	228	2	88.8
ACDC	2400	228	2	61.1
ACDC	2400	228	2	74.0
ACDC	2400	228	2	51.8
ACDC	2400	229	2	125.5
ACDC	2400	229	2	123.2
ACDC	2400	232	2	160.2
ACDC	2400	232	2	61.2
ACDC	2400	232	2	140.8
ACDC	2400	232	2	137.7
ACDC	2400	232	2	226.4
ACDC	2400	232	2	61.6
ACDC	2400	232	2	138.6
ACDC	2400	233	2	52.0
ACDC	2400	233	2	195.8
ACDC	2400	233	2	138.6
ACDC	2400	233	2	169.4
