Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	151,250000
ACDC	2400	23	2	184,250000
ACDC	2400	23	2	115,500000
ACDC	2400	39	2	63,450000
ACDC	2400	39	2	133,950000
ACDC	2400	39	2	47,000000
ACDC	2400	39	2	77,550000
ACDC	2400	40	2	88,400000
ACDC	2400	40	2	130,000000
ACDC	2400	40	2	187,200000
ACDC	2400	40	2	249,600000
ACDC	2400	41	2	
ACDC	2400	42	2	
ACDC	2400	55	2	
ACDC	2400	56	2	55,600000
ACDC	2400	56	2	211,280000
ACDC	2400	57	2	
ACDC	2400	58	2	119,540000
ACDC	2400	58	2	113,980000
ACDC	2400	58	2	202,940000
ACDC	2400	59	2	166,800000
ACDC	2400	60	2	55,600000
ACDC	2400	60	2	91,740000
ACDC	2400	72	2	
ACDC	2400	73	2	93,000000
ACDC	2400	73	2	155,000000
ACDC	2400	73	2	217,000000
ACDC	2400	73	2	145,700000
ACDC	2400	74	2	112,000000
ACDC	2400	74	2	98,000000
ACDC	2400	75	2	201,600000
ACDC	2400	76	2	
ACDC	2400	88	2	
ACDC	2400	89	2	179,200000
ACDC	2400	90	2	77,220000
ACDC	2400	90	2	125,840000
ACDC	2400	90	2	246,400000
ACDC	2400	91	2	126,000000
ACDC	2400	91	2	114,000000
ACDC	2400	105	2	80,000000
ACDC	2400	106	2	
ACDC	2400	109	2	189,720000
ACDC	2400	109	2	127,260000
ACDC	2400	110	2	
ACDC	2400	112	2	
ACDC	2400	113	2	
ACDC	2400	122	2	
ACDC	2400	123	2	
ACDC	2400	125	2	
ACDC	2400	126	2	189,720000
ACDC	2400	126	2	142,410000
ACDC	2400	126	2	60,600000
ACDC	2400	126	2	146,880000
ACDC	2400	127	2	61,200000
ACDC	2400	127	2	181,800000
ACDC	2400	127	2	127,260000
ACDC	2400	128	2	232,560000
ACDC	2400	129	2	
ACDC	2400	130	2	
ACDC	2400	141	2	
ACDC	2400	142	2	
ACDC	2400	143	2	174,420000
ACDC	2400	143	2	58,140000
ACDC	2400	143	2	100,980000
ACDC	2400	143	2	181,800000
ACDC	2400	143	2	78,780000
ACDC	2400	143	2	72,720000
ACDC	2400	144	2	45,900000
ACDC	2400	144	2	48,480000
ACDC	2400	145	2	224,000000
ACDC	2400	145	2	144,560000
ACDC	2400	146	2	140,000000
ACDC	2400	146	2	155,680000
ACDC	2400	146	2	50,400000
ACDC	2400	146	2	72,800000
ACDC	2400	147	2	
ACDC	2400	148	2	167,272727
ACDC	2400	148	2	118,181818
ACDC	2400	148	2	96,363636
ACDC	2400	148	2	74,545455
ACDC	2400	148	2	236,000000
ACDC	2400	148	2	156,363636
ACDC	2400	157	2	116,100000
ACDC	2400	157	2	123,840000
ACDC	2400	158	2	
ACDC	2400	159	2	
ACDC	2400	160	2	148,400000
ACDC	2400	161	2	112,000000
ACDC	2400	161	2	97,300000
ACDC	2400	162	2	154,000000
ACDC	2400	162	2	136,220000
ACDC	2400	162	2	144,560000
ACDC	2400	162	2	196,000000
ACDC	2400	162	2	106,400000
ACDC	2400	162	2	140,000000
ACDC	2400	163	2	55,400000
ACDC	2400	163	2	180,050000
ACDC	2400	163	2	188,360000
ACDC	2400	164	2	80,330000
ACDC	2400	164	2	155,120000
ACDC	2400	164	2	138,500000
ACDC	2400	164	2	127,420000
ACDC	2400	164	2	74,790000
ACDC	2400	165	2	124,650000
ACDC	2400	165	2	166,200000
ACDC	2400	165	2	138,500000
ACDC	2400	165	2	110,800000
ACDC	2400	166	2	132,428571
ACDC	2400	166	2	217,035714
ACDC	2400	166	2	167,375000
ACDC	2400	174	2	
ACDC	2400	175	2	82,880000
ACDC	2400	176	2	
ACDC	2400	177	2	
ACDC	2400	178	2	144,040000
ACDC	2400	178	2	196,670000
ACDC	2400	178	2	163,430000
ACDC	2400	178	2	108,030000
ACDC	2400	178	2	144,040000
ACDC	2400	178	2	138,500000
ACDC	2400	179	2	113,570000
ACDC	2400	179	2	166,200000
ACDC	2400	179	2	113,570000
ACDC	2400	179	2	49,860000
ACDC	2400	179	2	83,100000
ACDC	2400	179	2	94,180000
ACDC	2400	179	2	182,820000
ACDC	2400	179	2	41,550000
ACDC	2400	179	2	119,110000
ACDC	2400	179	2	166,200000
ACDC	2400	179	2	168,970000
ACDC	2400	180	2	169,400000
ACDC	2400	181	2	104,720000
ACDC	2400	182	2	120,491228
ACDC	2400	182	2	156,910714
ACDC	2400	182	2	70,339286
ACDC	2400	183	2	183,906000
ACDC	2400	183	2	75,726000
ACDC	2400	183	2	243,750000
ACDC	2400	183	2	243,750000
ACDC	2400	183	2	95,589286
ACDC	2400	183	2	106,377000
ACDC	2400	183	2	196,000000
ACDC	2400	183	2	120,801000
ACDC	2400	183	2	39,678571
ACDC	2400	184	2	228,000000
ACDC	2400	184	2	147,857143
ACDC	2400	184	2	184,000000
ACDC	2400	184	2	188,181818
ACDC	2400	184	2	158,909091
ACDC	2400	184	2	129,636364
ACDC	2400	184	2	154,428571
ACDC	2400	185	2	175,000000
ACDC	2400	185	2	87,719298
ACDC	2400	185	2	94,736842
ACDC	2400	185	2	114,035088
ACDC	2400	185	2	191,071429
ACDC	2400	192	2	
ACDC	2400	193	2	
ACDC	2400	194	2	127,260000
ACDC	2400	194	2	168,300000
ACDC	2400	194	2	236,340000
ACDC	2400	194	2	97,920000
ACDC	2400	195	2	153,000000
ACDC	2400	195	2	159,120000
ACDC	2400	195	2	72,720000
ACDC	2400	195	2	107,100000
ACDC	2400	196	2	122,400000
ACDC	2400	196	2	163,620000
ACDC	2400	197	2	85,680000
ACDC	2400	197	2	149,940000
ACDC	2400	198	2	45,450000
ACDC	2400	198	2	299,970000
ACDC	2400	198	2	110,160000
ACDC	2400	198	2	168,300000
ACDC	2400	199	2	121,200000
ACDC	2400	199	2	115,140000
ACDC	2400	199	2	145,440000
ACDC	2400	199	2	186,660000
ACDC	2400	199	2	73,440000
ACDC	2400	199	2	76,500000
ACDC	2400	200	2	76,500000
ACDC	2400	200	2	122,400000
ACDC	2400	200	2	121,200000
