Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	66,0
ACDC	2400	23	2	110,0
ACDC	2400	23	2	107,25
ACDC	2400	39	2	86,95
ACDC	2400	39	2	98,7
ACDC	2400	40	2	
ACDC	2400	41	2	132,6
ACDC	2400	42	2	104,0
ACDC	2400	42	2	26,0
ACDC	2400	55	2	173,6
ACDC	2400	55	2	113,16
ACDC	2400	56	2	86,18
ACDC	2400	56	2	130,66
ACDC	2400	57	2	127,88
ACDC	2400	58	2	44,48
ACDC	2400	59	2	72,28
ACDC	2400	60	2	116,76
ACDC	2400	60	2	119,54
ACDC	2400	72	2	143,1
ACDC	2400	72	2	148,5
ACDC	2400	73	2	52,7
ACDC	2400	74	2	36,4
ACDC	2400	75	2	
ACDC	2400	76	2	
ACDC	2400	88	2	22,86
ACDC	2400	89	2	58,8
ACDC	2400	90	2	159,6
ACDC	2400	90	2	191,62
ACDC	2400	90	2	225,94
ACDC	2400	91	2	
ACDC	2400	105	2	
ACDC	2400	106	2	
ACDC	2400	109	2	45,45
ACDC	2400	109	2	260,1
ACDC	2400	110	2	
ACDC	2400	112	2	
ACDC	2400	113	2	49,977
ACDC	2400	113	2	88,896
ACDC	2400	113	2	61,116
ACDC	2400	122	2	
ACDC	2400	123	2	53,13
ACDC	2400	125	2	
ACDC	2400	126	2	
ACDC	2400	127	2	248,46
ACDC	2400	127	2	51,51
ACDC	2400	127	2	27,27
ACDC	2400	127	2	205,02
ACDC	2400	128	2	104,04
ACDC	2400	129	2	55,53
ACDC	2400	129	2	24,076
ACDC	2400	130	2	
ACDC	2400	141	2	
ACDC	2400	142	2	159,36
ACDC	2400	143	2	
ACDC	2400	144	2	137,7
ACDC	2400	145	2	144,56
ACDC	2400	146	2	50,4
ACDC	2400	146	2	50,04
ACDC	2400	147	2	102,86
ACDC	2400	148	2	
ACDC	2400	157	2	59,34
ACDC	2400	158	2	
ACDC	2400	159	2	
ACDC	2400	160	2	
ACDC	2400	161	2	
ACDC	2400	162	2	
ACDC	2400	163	2	157,89000000000001
ACDC	2400	163	2	66,48
ACDC	2400	164	2	
ACDC	2400	165	2	277,0
ACDC	2400	166	2	
ACDC	2400	174	2	
ACDC	2400	175	2	76,96
ACDC	2400	176	2	60,31999999999999
ACDC	2400	177	2	149,58
ACDC	2400	177	2	204,98
ACDC	2400	178	2	
ACDC	2400	179	2	
ACDC	2400	180	2	15,3
ACDC	2400	180	2	107,1
ACDC	2400	180	2	243,32
ACDC	2400	181	2	128,52
ACDC	2400	181	2	86,24
ACDC	2400	182	2	106,3157894736842
ACDC	2400	183	2	144,24
ACDC	2400	184	2	69,0
ACDC	2400	185	2	
ACDC	2400	192	2	65,5
ACDC	2400	192	2	70,74000000000001
ACDC	2400	192	2	78,6
ACDC	2400	193	2	
ACDC	2400	194	2	
ACDC	2400	195	2	
ACDC	2400	196	2	104,04
ACDC	2400	197	2	153,0
ACDC	2400	198	2	275,4
ACDC	2400	199	2	151,5
ACDC	2400	199	2	67,32000000000001
ACDC	2400	200	2	
ACDC	2400	201	2	
ACDC	2400	202	2	
ACDC	2400	210	2	80,864
ACDC	2400	211	2	
ACDC	2400	212	2	
ACDC	2400	213	2	30,0
ACDC	2400	213	2	130,0
ACDC	2400	214	2	
ACDC	2400	215	2	
ACDC	2400	216	2	226,44
ACDC	2400	216	2	91,8
ACDC	2400	218	2	
ACDC	2400	219	2	
ACDC	2400	228	2	
ACDC	2400	229	2	
ACDC	2400	232	2	
ACDC	2400	233	2	
ACDC	2400	245	2	
ACDC	2400	246	2	112,255
ACDC	2400	247	2	
ACDC	2400	250	2	
ACDC	2400	262	2	94,42622950819673
ACDC	2400	263	2	23,081967213114755
ACDC	2400	263	2	107,01639344262296
ACDC	2400	265	2	114,82400000000001
ACDC	2400	266	2	103,712
ACDC	2400	280	2	67,14754098360656
ACDC	2400	281	2	
ACDC	2400	282	2	
ACDC	2400	283	2	193,16363636363636
ACDC	2400	283	2	60,50909090909091
ACDC	2400	284	2	
ACDC	2400	299	2	
ACDC	2400	300	2	69,24590163934427
ACDC	2400	300	2	58,75409836065574
ACDC	2400	301	2	75,54098360655738
ACDC	2400	301	2	8,39344262295082
