Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	154,0
ACDC	2400	23	2	129,25
ACDC	2400	23	2	93,5
ACDC	2400	39	2	162,15
ACDC	2400	39	2	202,1
ACDC	2400	40	2	
ACDC	2400	41	2	231,4
ACDC	2400	41	2	88,4
ACDC	2400	41	2	93,6
ACDC	2400	42	2	104,0
ACDC	2400	42	2	130,0
ACDC	2400	42	2	80,60000000000001
ACDC	2400	55	2	66,96
ACDC	2400	55	2	63,96
ACDC	2400	56	2	147,34
ACDC	2400	56	2	164,02
ACDC	2400	56	2	166,8
ACDC	2400	56	2	172,36
ACDC	2400	57	2	141,78
ACDC	2400	57	2	152,9
ACDC	2400	57	2	236,3
ACDC	2400	57	2	130,66
ACDC	2400	57	2	136,22
ACDC	2400	58	2	113,97999999999999
ACDC	2400	58	2	61,16
ACDC	2400	58	2	125,1
ACDC	2400	58	2	102,86
ACDC	2400	58	2	183,48
ACDC	2400	59	2	83,4
ACDC	2400	59	2	80,61999999999999
ACDC	2400	60	2	80,62
ACDC	2400	60	2	175,14
ACDC	2400	60	2	180,7
ACDC	2400	72	2	43,2
ACDC	2400	72	2	148,5
ACDC	2400	72	2	135,0
ACDC	2400	72	2	234,6
ACDC	2400	73	2	136,4
ACDC	2400	73	2	105,4
ACDC	2400	73	2	83,7
ACDC	2400	73	2	139,5
ACDC	2400	73	2	71,3
ACDC	2400	74	2	176,4
ACDC	2400	74	2	182,0
ACDC	2400	74	2	106,4
ACDC	2400	74	2	78,39999999999999
ACDC	2400	75	2	48,96
ACDC	2400	75	2	34,56
ACDC	2400	75	2	132,48
ACDC	2400	75	2	80,64
ACDC	2400	75	2	40,32
ACDC	2400	76	2	57,0
ACDC	2400	76	2	80,0
ACDC	2400	88	2	40,64
ACDC	2400	88	2	40,64
ACDC	2400	89	2	212,8
ACDC	2400	89	2	212,8
ACDC	2400	90	2	112,0
ACDC	2400	90	2	140,0
ACDC	2400	90	2	151,57999999999998
ACDC	2400	90	2	108,68
ACDC	2400	91	2	45,0
ACDC	2400	91	2	102,0
ACDC	2400	91	2	75,0
ACDC	2400	91	2	126,0
ACDC	2400	91	2	75,0
ACDC	2400	105	2	
ACDC	2400	106	2	134,62
ACDC	2400	109	2	121,2
ACDC	2400	109	2	143,82
ACDC	2400	109	2	107,1
ACDC	2400	109	2	306,0
ACDC	2400	110	2	99,99
ACDC	2400	110	2	134,64000000000001
ACDC	2400	110	2	136,35
ACDC	2400	110	2	90,9
ACDC	2400	110	2	183,6
ACDC	2400	112	2	
ACDC	2400	113	2	120,38000000000001
ACDC	2400	113	2	87,04400000000001
ACDC	2400	122	2	118,0
ACDC	2400	122	2	118,0
ACDC	2400	123	2	
ACDC	2400	125	2	
ACDC	2400	126	2	166,65
ACDC	2400	127	2	181,8
ACDC	2400	128	2	153,0
ACDC	2400	128	2	242,4
ACDC	2400	128	2	121,2
ACDC	2400	129	2	107,41600000000001
ACDC	2400	129	2	98,103
ACDC	2400	130	2	111,06
ACDC	2400	141	2	78,53999999999999
ACDC	2400	142	2	
ACDC	2400	143	2	122,4
ACDC	2400	144	2	367,2
ACDC	2400	144	2	257,04
ACDC	2400	144	2	199,98
ACDC	2400	145	2	224,0
ACDC	2400	145	2	86,8
ACDC	2400	145	2	159,6
ACDC	2400	146	2	78,39999999999999
ACDC	2400	146	2	89,6
ACDC	2400	147	2	103,6
ACDC	2400	147	2	95,19999999999999
ACDC	2400	148	2	114,54545454545455
ACDC	2400	148	2	190,9090909090909
ACDC	2400	148	2	76,36363636363636
ACDC	2400	148	2	150,9090909090909
ACDC	2400	157	2	51,6
ACDC	2400	158	2	
ACDC	2400	159	2	89,46
ACDC	2400	160	2	
ACDC	2400	161	2	168,0
ACDC	2400	161	2	224,0
ACDC	2400	162	2	117,6
ACDC	2400	162	2	207,2
ACDC	2400	163	2	96,95
ACDC	2400	163	2	193,9
ACDC	2400	163	2	185,59
ACDC	2400	163	2	119,11
ACDC	2400	164	2	
ACDC	2400	165	2	
ACDC	2400	166	2	422,75
ACDC	2400	166	2	450,99999999999994
ACDC	2400	166	2	202,32142857142856
ACDC	2400	166	2	91,96428571428571
ACDC	2400	166	2	77,25
ACDC	2400	166	2	123,23214285714285
ACDC	2400	166	2	211,51785714285714
ACDC	2400	166	2	136,10714285714286
ACDC	2400	174	2	
ACDC	2400	175	2	65,12
ACDC	2400	175	2	94,72
ACDC	2400	175	2	124,32
ACDC	2400	176	2	
ACDC	2400	177	2	
ACDC	2400	178	2	
ACDC	2400	179	2	277,0
ACDC	2400	179	2	207,75
ACDC	2400	180	2	154,0
ACDC	2400	180	2	45,9
ACDC	2400	181	2	126,28
ACDC	2400	181	2	138,6
ACDC	2400	181	2	119,34
ACDC	2400	181	2	261,8
ACDC	2400	182	2	129,35087719298247
ACDC	2400	182	2	60,24561403508772
ACDC	2400	182	2	72,14285714285714
ACDC	2400	182	2	120,83928571428572
ACDC	2400	182	2	95,58928571428572
ACDC	2400	183	2	209,21428571428572
ACDC	2400	183	2	225,375
ACDC	2400	183	2	167,679
ACDC	2400	183	2	196,527
ACDC	2400	183	2	316,875
ACDC	2400	183	2	138,875
ACDC	2400	184	2	188,92857142857142
ACDC	2400	184	2	177,42857142857142
ACDC	2400	184	2	221,63636363636363
ACDC	2400	184	2	276,0
ACDC	2400	184	2	289,39240506329116
ACDC	2400	184	2	450,0
ACDC	2400	185	2	279,0
ACDC	2400	185	2	182,5
ACDC	2400	185	2	94,73684210526315
ACDC	2400	185	2	470,525
ACDC	2400	185	2	200,0
ACDC	2400	185	2	114,28571428571429
ACDC	2400	185	2	50,0
ACDC	2400	185	2	201,7857142857143
ACDC	2400	192	2	49,78
ACDC	2400	193	2	
ACDC	2400	194	2	
ACDC	2400	195	2	67,32000000000001
ACDC	2400	195	2	196,95
ACDC	2400	195	2	124,22999999999999
ACDC	2400	195	2	72,72
ACDC	2400	195	2	128,52
ACDC	2400	195	2	201,96
ACDC	2400	196	2	112,11
ACDC	2400	196	2	199,98
ACDC	2400	196	2	93,93
ACDC	2400	196	2	157,56
ACDC	2400	196	2	67,32000000000001
ACDC	2400	196	2	61,2
ACDC	2400	197	2	151,5
ACDC	2400	197	2	160,59
ACDC	2400	197	2	171,36
