Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	112,75
ACDC	2400	23	2	151,25
ACDC	2400	39	2	
ACDC	2400	40	2	
ACDC	2400	41	2	36,4
ACDC	2400	41	2	33,800000000000004
ACDC	2400	41	2	106,6
ACDC	2400	41	2	41,6
ACDC	2400	42	2	52,0
ACDC	2400	55	2	74,4
ACDC	2400	55	2	106,64
ACDC	2400	55	2	44,64
ACDC	2400	55	2	83,64
ACDC	2400	56	2	
ACDC	2400	57	2	125,1
ACDC	2400	58	2	55,599999999999994
ACDC	2400	58	2	94,52
ACDC	2400	58	2	75,06
ACDC	2400	59	2	91,74
ACDC	2400	59	2	61,16
ACDC	2400	59	2	55,6
ACDC	2400	60	2	125,1
ACDC	2400	72	2	59,4
ACDC	2400	72	2	108,0
ACDC	2400	73	2	
ACDC	2400	74	2	232,4
ACDC	2400	75	2	77,75999999999999
ACDC	2400	76	2	80,0
ACDC	2400	88	2	17,78
ACDC	2400	88	2	17,78
ACDC	2400	88	2	73,66
ACDC	2400	89	2	
ACDC	2400	90	2	151,57999999999998
ACDC	2400	91	2	129,0
ACDC	2400	105	2	197,5
ACDC	2400	105	2	197,5
ACDC	2400	106	2	93,98
ACDC	2400	106	2	38,1
ACDC	2400	106	2	38,1
ACDC	2400	109	2	136,35
ACDC	2400	109	2	153,0
ACDC	2400	109	2	131,58
ACDC	2400	109	2	201,96
ACDC	2400	110	2	122,4
ACDC	2400	112	2	29,26
ACDC	2400	112	2	47,88
ACDC	2400	112	2	50,540000000000006
ACDC	2400	113	2	
ACDC	2400	122	2	73,75
ACDC	2400	122	2	73,75
ACDC	2400	123	2	87,02
ACDC	2400	123	2	92,4
ACDC	2400	123	2	98,47
ACDC	2400	125	2	40,85
ACDC	2400	125	2	30,1
ACDC	2400	125	2	32,7
ACDC	2400	126	2	
ACDC	2400	127	2	212,1
ACDC	2400	128	2	27,27
ACDC	2400	128	2	247,86
ACDC	2400	128	2	149,94
ACDC	2400	129	2	
ACDC	2400	130	2	66,636
ACDC	2400	130	2	62,934
ACDC	2400	141	2	
ACDC	2400	142	2	
ACDC	2400	143	2	121,2
ACDC	2400	144	2	242,4
ACDC	2400	145	2	169,58
ACDC	2400	146	2	47,26
ACDC	2400	147	2	88,96
ACDC	2400	147	2	150,12
ACDC	2400	148	2	58,18181818181818
ACDC	2400	148	2	60,0
ACDC	2400	148	2	69,0909090909091
ACDC	2400	148	2	94,54545454545455
ACDC	2400	157	2	
ACDC	2400	158	2	87,5
ACDC	2400	159	2	
ACDC	2400	160	2	
ACDC	2400	161	2	166,8
ACDC	2400	162	2	
ACDC	2400	163	2	144,04
ACDC	2400	163	2	185,59
ACDC	2400	164	2	77,56
ACDC	2400	164	2	77,56
ACDC	2400	165	2	44,32
ACDC	2400	166	2	
ACDC	2400	174	2	120,36
ACDC	2400	174	2	87,32
ACDC	2400	175	2	32,56
ACDC	2400	175	2	41,44
ACDC	2400	176	2	48,72
ACDC	2400	176	2	32,48
ACDC	2400	177	2	166,2
ACDC	2400	178	2	88,64
ACDC	2400	179	2	238,22
ACDC	2400	180	2	184,8
ACDC	2400	180	2	55,08
ACDC	2400	181	2	122,4
ACDC	2400	181	2	134,64000000000001
ACDC	2400	181	2	154,0
ACDC	2400	182	2	51,3859649122807
ACDC	2400	182	2	10,631578947368421
ACDC	2400	182	2	147,0701754385965
ACDC	2400	182	2	150,6140350877193
ACDC	2400	183	2	
ACDC	2400	184	2	182,35714285714286
ACDC	2400	185	2	
ACDC	2400	192	2	144,1
ACDC	2400	192	2	60,260000000000005
ACDC	2400	193	2	60,5
ACDC	2400	194	2	
ACDC	2400	195	2	45,45
ACDC	2400	195	2	122,4
ACDC	2400	196	2	127,26
ACDC	2400	197	2	30,299999999999997
ACDC	2400	197	2	124,22999999999999
ACDC	2400	197	2	61,2
ACDC	2400	198	2	139,38
ACDC	2400	199	2	181,8
ACDC	2400	200	2	181,8
ACDC	2400	200	2	60,599999999999994
ACDC	2400	201	2	
ACDC	2400	202	2	
ACDC	2400	210	2	57,456
ACDC	2400	210	2	53,2
ACDC	2400	211	2	
ACDC	2400	212	2	
ACDC	2400	213	2	
ACDC	2400	214	2	
ACDC	2400	215	2	
ACDC	2400	216	2	174,42
ACDC	2400	218	2	99,18
ACDC	2400	219	2	93,62
ACDC	2400	219	2	69,46
ACDC	2400	228	2	
ACDC	2400	229	2	42,84
ACDC	2400	229	2	169,4
ACDC	2400	232	2	
ACDC	2400	233	2	153,0
ACDC	2400	245	2	118,464
ACDC	2400	246	2	10,0
ACDC	2400	247	2	70,0
ACDC	2400	250	2	
ACDC	2400	262	2	
ACDC	2400	263	2	65,04918032786885
ACDC	2400	263	2	71,34426229508198
ACDC	2400	265	2	
ACDC	2400	266	2	116,613
ACDC	2400	266	2	111,12
ACDC	2400	280	2	123,8032786885246
ACDC	2400	281	2	77,63934426229508
ACDC	2400	281	2	92,32786885245902
ACDC	2400	281	2	102,81967213114754
ACDC	2400	282	2	
ACDC	2400	283	2	62,836363636363636
ACDC	2400	283	2	81,45454545454545
ACDC	2400	284	2	112,28070175438596
ACDC	2400	284	2	85,5
ACDC	2400	299	2	86,03278688524591
ACDC	2400	299	2	4,19672131147541
ACDC	2400	299	2	144,78688524590166
ACDC	2400	300	2	88,1311475409836
ACDC	2400	300	2	172,06557377049182
ACDC	2400	300	2	121,70491803278689
ACDC	2400	301	2	
