Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	123,75
ACDC	2400	39	2	51,7
ACDC	2400	39	2	141,0
ACDC	2400	39	2	117,5
ACDC	2400	39	2	138,65
ACDC	2400	39	2	155,1
ACDC	2400	40	2	78,0
ACDC	2400	40	2	145,6
ACDC	2400	40	2	122,2
ACDC	2400	40	2	403,0
ACDC	2400	41	2	91,0
ACDC	2400	41	2	135,2
ACDC	2400	41	2	57,2
ACDC	2400	41	2	44,2
ACDC	2400	41	2	65,0
ACDC	2400	42	2	44,2
ACDC	2400	42	2	88,4
ACDC	2400	42	2	65,0
ACDC	2400	42	2	117,0
ACDC	2400	55	2	74,4
ACDC	2400	55	2	69,44
ACDC	2400	55	2	44,28
ACDC	2400	55	2	132,84
ACDC	2400	55	2	68,88
ACDC	2400	55	2	98,4
ACDC	2400	56	2	166,8
ACDC	2400	56	2	125,1
ACDC	2400	56	2	211,28
ACDC	2400	56	2	119,54
ACDC	2400	57	2	50,04
ACDC	2400	57	2	94,52
ACDC	2400	57	2	88,96
ACDC	2400	57	2	136,22
ACDC	2400	57	2	222,39999999999998
ACDC	2400	58	2	44,48
ACDC	2400	58	2	69,5
ACDC	2400	58	2	125,1
ACDC	2400	58	2	105,63999999999999
ACDC	2400	58	2	80,61999999999999
ACDC	2400	59	2	61,16
ACDC	2400	59	2	55,599999999999994
ACDC	2400	59	2	127,88
ACDC	2400	59	2	75,06
ACDC	2400	59	2	52,82
ACDC	2400	59	2	111,2
ACDC	2400	60	2	13,9
ACDC	2400	60	2	158,45999999999998
ACDC	2400	72	2	94,5
ACDC	2400	72	2	229,5
ACDC	2400	72	2	201,48
ACDC	2400	72	2	63,48
ACDC	2400	73	2	77,5
ACDC	2400	73	2	117,8
ACDC	2400	73	2	210,8
ACDC	2400	74	2	137,2
ACDC	2400	74	2	36,4
ACDC	2400	75	2	100,8
ACDC	2400	75	2	97,92
ACDC	2400	76	2	45,0
ACDC	2400	76	2	68,0
ACDC	2400	76	2	81,0
ACDC	2400	76	2	500,0
ACDC	2400	88	2	17,78
ACDC	2400	88	2	127,0
ACDC	2400	88	2	17,78
ACDC	2400	88	2	127,0
ACDC	2400	88	2	66,04
ACDC	2400	89	2	
ACDC	2400	90	2	165,88
ACDC	2400	91	2	102,0
ACDC	2400	91	2	66,0
ACDC	2400	91	2	75,0
ACDC	2400	91	2	90,0
ACDC	2400	91	2	135,0
ACDC	2400	105	2	35,0
ACDC	2400	105	2	35,0
ACDC	2400	105	2	182,5
ACDC	2400	106	2	25,4
ACDC	2400	106	2	25,4
ACDC	2400	106	2	99,06
ACDC	2400	109	2	88,74
ACDC	2400	109	2	137,7
ACDC	2400	109	2	115,14
ACDC	2400	109	2	133,32
ACDC	2400	110	2	136,35
ACDC	2400	110	2	151,5
ACDC	2400	110	2	151,5
ACDC	2400	110	2	124,23
ACDC	2400	110	2	91,8
ACDC	2400	110	2	180,54
ACDC	2400	110	2	162,18
ACDC	2400	112	2	39,900000000000006
ACDC	2400	112	2	71,82000000000001
ACDC	2400	113	2	48,152
ACDC	2400	113	2	98,156
ACDC	2400	113	2	62,934
ACDC	2400	113	2	62,934
ACDC	2400	113	2	94,452
ACDC	2400	122	2	26,55
ACDC	2400	122	2	106,2
ACDC	2400	122	2	26,55
ACDC	2400	122	2	106,2
ACDC	2400	122	2	56,05
ACDC	2400	122	2	61,95
ACDC	2400	123	2	87,02
ACDC	2400	123	2	91,6
ACDC	2400	125	2	39,24
ACDC	2400	125	2	43,6
ACDC	2400	125	2	19,349999999999998
ACDC	2400	125	2	23,65
ACDC	2400	126	2	184,83
ACDC	2400	126	2	136,35
ACDC	2400	126	2	21,21
ACDC	2400	127	2	166,65
ACDC	2400	127	2	107,1
ACDC	2400	128	2	106,05
ACDC	2400	128	2	242,4
ACDC	2400	128	2	146,88
ACDC	2400	128	2	171,36
ACDC	2400	129	2	31,467
ACDC	2400	129	2	33,336
ACDC	2400	129	2	77,784
ACDC	2400	130	2	
ACDC	2400	141	2	188,02
ACDC	2400	141	2	109,47999999999999
ACDC	2400	141	2	90,44
ACDC	2400	141	2	69,02
ACDC	2400	141	2	61,88
ACDC	2400	141	2	54,74
ACDC	2400	141	2	61,88
ACDC	2400	141	2	64,25999999999999
ACDC	2400	142	2	64,74
ACDC	2400	142	2	99,6
ACDC	2400	142	2	49,8
ACDC	2400	142	2	136,95
ACDC	2400	142	2	146,91000000000003
ACDC	2400	143	2	69,69
ACDC	2400	143	2	82,62
ACDC	2400	143	2	214,2
ACDC	2400	144	2	153,0
ACDC	2400	144	2	168,3
ACDC	2400	144	2	115,14
ACDC	2400	145	2	122,32
ACDC	2400	145	2	127,88
ACDC	2400	145	2	154,0
ACDC	2400	145	2	168,0
ACDC	2400	146	2	229,6
ACDC	2400	146	2	156,79999999999998
ACDC	2400	146	2	175,14
ACDC	2400	146	2	69,5
ACDC	2400	146	2	186,26
ACDC	2400	147	2	56,0
ACDC	2400	147	2	56,0
ACDC	2400	148	2	65,45454545454545
ACDC	2400	148	2	110,9090909090909
ACDC	2400	148	2	78,18181818181817
ACDC	2400	148	2	90,9090909090909
ACDC	2400	148	2	98,18181818181817
ACDC	2400	148	2	185,45454545454544
ACDC	2400	148	2	60,0
ACDC	2400	148	2	81,81818181818181
ACDC	2400	148	2	103,63636363636363
ACDC	2400	148	2	94,54545454545455
ACDC	2400	148	2	63,63636363636363
ACDC	2400	148	2	69,0909090909091
ACDC	2400	157	2	51,6
ACDC	2400	158	2	87,5
ACDC	2400	158	2	45,0
ACDC	2400	158	2	47,5
ACDC	2400	158	2	42,5
ACDC	2400	159	2	38,339999999999996
ACDC	2400	159	2	36,21
ACDC	2400	159	2	31,95
ACDC	2400	159	2	46,86
ACDC	2400	160	2	83,4
ACDC	2400	161	2	189,04
ACDC	2400	161	2	202,94
ACDC	2400	161	2	224,0
ACDC	2400	161	2	196,0
ACDC	2400	162	2	198,8
ACDC	2400	162	2	166,8
ACDC	2400	162	2	140,0
ACDC	2400	163	2	210,52
ACDC	2400	163	2	74,79
ACDC	2400	163	2	138,5
ACDC	2400	163	2	163,43
ACDC	2400	164	2	110,8
ACDC	2400	164	2	49,86
ACDC	2400	164	2	152,35
ACDC	2400	164	2	13,85
ACDC	2400	164	2	102,49
ACDC	2400	164	2	102,49
ACDC	2400	165	2	69,25
ACDC	2400	165	2	60,94
ACDC	2400	165	2	160,66
ACDC	2400	165	2	102,49
ACDC	2400	166	2	123,23214285714285
ACDC	2400	166	2	58,857142857142854
ACDC	2400	166	2	86,44642857142857
ACDC	2400	166	2	22,07142857142857
ACDC	2400	166	2	73,57142857142857
ACDC	2400	166	2	202,32142857142856
ACDC	2400	174	2	40,12
ACDC	2400	174	2	44,84
ACDC	2400	174	2	56,64
ACDC	2400	174	2	92,04
ACDC	2400	174	2	113,28
ACDC	2400	175	2	88,8
ACDC	2400	176	2	64,96
ACDC	2400	176	2	30,16
ACDC	2400	176	2	64,96
ACDC	2400	176	2	32,48
ACDC	2400	176	2	48,72
ACDC	2400	177	2	58,17
ACDC	2400	177	2	180,05
ACDC	2400	177	2	188,36
ACDC	2400	177	2	144,04
ACDC	2400	177	2	174,51
ACDC	2400	177	2	155,12
ACDC	2400	178	2	193,9
ACDC	2400	178	2	221,6
ACDC	2400	178	2	221,6
ACDC	2400	178	2	193,9
ACDC	2400	179	2	
ACDC	2400	180	2	113,22
ACDC	2400	180	2	82,62
ACDC	2400	180	2	45,9
ACDC	2400	180	2	89,32
ACDC	2400	180	2	209,44
ACDC	2400	181	2	30,8
ACDC	2400	181	2	123,2
ACDC	2400	181	2	110,88
ACDC	2400	181	2	83,16
ACDC	2400	181	2	104,04
ACDC	2400	181	2	91,8
ACDC	2400	182	2	151,5
ACDC	2400	182	2	108,21428571428572
ACDC	2400	182	2	155,10714285714286
ACDC	2400	182	2	101,0
ACDC	2400	182	2	110,01785714285714
ACDC	2400	182	2	240,98245614035088
ACDC	2400	182	2	50,5
ACDC	2400	182	2	146,08928571428572
ACDC	2400	182	2	256,9298245614035
