Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	93,500000
ACDC	2400	23	2	93,500000
ACDC	2400	23	2	134,750000
ACDC	2400	39	2	42,300000
ACDC	2400	39	2	148,050000
ACDC	2400	39	2	164,500000
ACDC	2400	39	2	220,900000
ACDC	2400	40	2	205,400000
ACDC	2400	40	2	299,000000
ACDC	2400	40	2	299,000000
ACDC	2400	40	2	325,000000
ACDC	2400	41	2	78,000000
ACDC	2400	41	2	169,000000
ACDC	2400	41	2	67,600000
ACDC	2400	42	2	122,200000
ACDC	2400	42	2	111,800000
ACDC	2400	55	2	57,040000
ACDC	2400	55	2	57,040000
ACDC	2400	55	2	42,160000
ACDC	2400	55	2	59,520000
ACDC	2400	55	2	37,200000
ACDC	2400	55	2	19,680000
ACDC	2400	55	2	54,120000
ACDC	2400	56	2	111,200000
ACDC	2400	56	2	152,900000
ACDC	2400	56	2	61,160000
ACDC	2400	57	2	161,240000
ACDC	2400	57	2	166,800000
ACDC	2400	57	2	150,120000
ACDC	2400	58	2	222,400000
ACDC	2400	59	2	150,120000
ACDC	2400	59	2	55,600000
ACDC	2400	60	2	113,980000
ACDC	2400	60	2	69,500000
ACDC	2400	60	2	116,760000
ACDC	2400	72	2	234,900000
ACDC	2400	72	2	102,120000
ACDC	2400	72	2	171,120000
ACDC	2400	73	2	108,500000
ACDC	2400	73	2	139,500000
ACDC	2400	73	2	201,500000
ACDC	2400	73	2	71,300000
ACDC	2400	74	2	98,000000
ACDC	2400	74	2	196,000000
ACDC	2400	74	2	168,000000
ACDC	2400	74	2	84,000000
ACDC	2400	74	2	196,000000
ACDC	2400	75	2	43,200000
ACDC	2400	75	2	144,000000
ACDC	2400	76	2	35,000000
ACDC	2400	76	2	102,000000
ACDC	2400	76	2	500,000000
ACDC	2400	88	2	2,540000
ACDC	2400	88	2	2,540000
ACDC	2400	89	2	
ACDC	2400	90	2	143,000000
ACDC	2400	90	2	183,040000
ACDC	2400	90	2	137,280000
ACDC	2400	91	2	90,000000
ACDC	2400	91	2	45,000000
ACDC	2400	91	2	144,000000
ACDC	2400	91	2	60,000000
ACDC	2400	105	2	
ACDC	2400	106	2	63,500000
ACDC	2400	109	2	175,740000
ACDC	2400	109	2	12,240000
ACDC	2400	109	2	130,290000
ACDC	2400	110	2	198,900000
ACDC	2400	110	2	107,100000
ACDC	2400	110	2	130,290000
ACDC	2400	110	2	128,520000
ACDC	2400	112	2	90,440000
ACDC	2400	112	2	21,280000
ACDC	2400	112	2	50,540000
ACDC	2400	112	2	53,200000
ACDC	2400	113	2	88,848000
ACDC	2400	113	2	98,103000
ACDC	2400	113	2	31,484000
ACDC	2400	113	2	150,012000
ACDC	2400	113	2	133,344000
ACDC	2400	122	2	
ACDC	2400	123	2	87,020000
ACDC	2400	123	2	82,440000
ACDC	2400	123	2	103,950000
ACDC	2400	123	2	85,470000
ACDC	2400	123	2	97,020000
ACDC	2400	123	2	82,440000
ACDC	2400	125	2	130,800000
ACDC	2400	125	2	43,000000
ACDC	2400	125	2	45,150000
ACDC	2400	125	2	66,650000
ACDC	2400	126	2	174,420000
ACDC	2400	126	2	146,880000
ACDC	2400	126	2	247,860000
ACDC	2400	126	2	122,400000
ACDC	2400	126	2	87,870000
ACDC	2400	126	2	75,750000
ACDC	2400	126	2	136,350000
ACDC	2400	126	2	70,380000
ACDC	2400	127	2	154,530000
ACDC	2400	127	2	9,180000
ACDC	2400	127	2	88,740000
ACDC	2400	127	2	70,380000
ACDC	2400	127	2	153,000000
ACDC	2400	128	2	51,510000
ACDC	2400	128	2	157,560000
ACDC	2400	128	2	58,140000
ACDC	2400	128	2	226,440000
ACDC	2400	129	2	62,968000
ACDC	2400	129	2	77,742000
ACDC	2400	129	2	101,805000
ACDC	2400	129	2	81,488000
ACDC	2400	129	2	40,722000
ACDC	2400	130	2	77,784000
ACDC	2400	130	2	120,380000
ACDC	2400	130	2	77,742000
ACDC	2400	130	2	129,570000
ACDC	2400	130	2	40,722000
ACDC	2400	130	2	98,103000
ACDC	2400	130	2	107,416000
ACDC	2400	141	2	147,560000
ACDC	2400	141	2	64,260000
ACDC	2400	141	2	61,880000
ACDC	2400	141	2	52,360000
ACDC	2400	141	2	173,740000
ACDC	2400	141	2	88,060000
ACDC	2400	141	2	59,500000
ACDC	2400	141	2	30,940000
ACDC	2400	142	2	122,010000
ACDC	2400	142	2	12,450000
ACDC	2400	142	2	92,130000
ACDC	2400	142	2	99,600000
ACDC	2400	142	2	154,380000
ACDC	2400	143	2	198,900000
ACDC	2400	143	2	39,780000
ACDC	2400	143	2	131,580000
ACDC	2400	143	2	81,810000
ACDC	2400	143	2	24,480000
ACDC	2400	143	2	106,050000
ACDC	2400	143	2	148,470000
ACDC	2400	144	2	54,540000
ACDC	2400	144	2	133,320000
ACDC	2400	144	2	263,610000
ACDC	2400	144	2	131,580000
ACDC	2400	145	2	144,560000
ACDC	2400	145	2	14,000000
ACDC	2400	145	2	159,600000
ACDC	2400	146	2	194,600000
ACDC	2400	146	2	55,600000
ACDC	2400	146	2	50,400000
ACDC	2400	146	2	64,400000
ACDC	2400	146	2	190,400000
ACDC	2400	147	2	130,660000
ACDC	2400	147	2	106,400000
ACDC	2400	147	2	75,060000
ACDC	2400	148	2	41,818182
ACDC	2400	148	2	96,363636
ACDC	2400	148	2	90,909091
ACDC	2400	148	2	87,272727
ACDC	2400	148	2	87,272727
ACDC	2400	148	2	60,000000
ACDC	2400	148	2	90,909091
ACDC	2400	148	2	87,272727
ACDC	2400	148	2	60,000000
ACDC	2400	157	2	131,580000
ACDC	2400	157	2	105,780000
ACDC	2400	157	2	79,980000
ACDC	2400	157	2	54,180000
ACDC	2400	157	2	100,620000
ACDC	2400	157	2	77,400000
ACDC	2400	157	2	54,180000
ACDC	2400	157	2	92,880000
ACDC	2400	158	2	52,500000
ACDC	2400	159	2	46,860000
ACDC	2400	159	2	55,380000
ACDC	2400	159	2	19,170000
ACDC	2400	159	2	31,950000
ACDC	2400	159	2	25,560000
ACDC	2400	159	2	68,160000
ACDC	2400	160	2	38,920000
ACDC	2400	160	2	83,400000
ACDC	2400	160	2	116,760000
ACDC	2400	160	2	128,800000
ACDC	2400	160	2	126,000000
ACDC	2400	160	2	28,000000
ACDC	2400	161	2	202,940000
ACDC	2400	161	2	56,000000
ACDC	2400	162	2	61,160000
ACDC	2400	162	2	47,600000
ACDC	2400	162	2	70,000000
ACDC	2400	163	2	166,200000
ACDC	2400	163	2	96,950000
ACDC	2400	163	2	72,020000
ACDC	2400	163	2	166,200000
ACDC	2400	163	2	249,300000
ACDC	2400	164	2	149,580000
ACDC	2400	164	2	55,400000
ACDC	2400	164	2	130,190000
ACDC	2400	165	2	113,570000
ACDC	2400	165	2	149,580000
ACDC	2400	165	2	119,110000
ACDC	2400	165	2	41,550000
ACDC	2400	166	2	154,500000
ACDC	2400	166	2	112,196429
ACDC	2400	166	2	45,982143
ACDC	2400	166	2	117,714286
ACDC	2400	166	2	62,535714
ACDC	2400	166	2	69,892857
ACDC	2400	166	2	68,053571
ACDC	2400	166	2	71,732143
ACDC	2400	166	2	115,875000
ACDC	2400	174	2	75,520000
ACDC	2400	174	2	82,600000
ACDC	2400	174	2	47,200000
ACDC	2400	174	2	82,600000
ACDC	2400	175	2	59,200000
ACDC	2400	175	2	74,000000
ACDC	2400	175	2	118,400000
ACDC	2400	175	2	74,000000
ACDC	2400	176	2	27,840000
ACDC	2400	176	2	20,880000
ACDC	2400	176	2	27,840000
ACDC	2400	176	2	20,880000
ACDC	2400	176	2	20,880000
ACDC	2400	177	2	102,490000
ACDC	2400	177	2	160,660000
ACDC	2400	177	2	60,940000
ACDC	2400	177	2	96,950000
ACDC	2400	178	2	44,320000
ACDC	2400	178	2	108,030000
ACDC	2400	179	2	271,460000
ACDC	2400	179	2	199,440000
ACDC	2400	179	2	193,900000
ACDC	2400	179	2	235,450000
ACDC	2400	180	2	30,800000
ACDC	2400	180	2	166,320000
ACDC	2400	180	2	85,680000
ACDC	2400	181	2	100,980000
ACDC	2400	181	2	30,800000
ACDC	2400	181	2	92,400000
ACDC	2400	181	2	33,880000
ACDC	2400	181	2	184,800000
ACDC	2400	181	2	119,340000
ACDC	2400	182	2	140,678571
ACDC	2400	182	2	119,035714
ACDC	2400	182	2	164,125000
ACDC	2400	182	2	115,428571
ACDC	2400	182	2	124,446429
ACDC	2400	182	2	138,210526
ACDC	2400	182	2	115,175439
ACDC	2400	182	2	168,333333
ACDC	2400	182	2	37,875000
ACDC	2400	182	2	54,929825
ACDC	2400	182	2	163,017544
ACDC	2400	183	2	203,803571
ACDC	2400	183	2	167,732143
ACDC	2400	183	2	90,178571
ACDC	2400	183	2	203,739000
ACDC	2400	183	2	162,270000
ACDC	2400	183	2	158,664000
ACDC	2400	183	2	90,150000
ACDC	2400	183	2	97,392857
ACDC	2400	184	2	221,785714
ACDC	2400	184	2	180,714286
ACDC	2400	184	2	159,357143
ACDC	2400	184	2	92,000000
ACDC	2400	184	2	230,000000
ACDC	2400	184	2	177,727273
ACDC	2400	184	2	236,272727
ACDC	2400	184	2	108,727273
ACDC	2400	184	2	100,363636
ACDC	2400	184	2	158,962025
ACDC	2400	185	2	54,385965
ACDC	2400	185	2	365,800000
ACDC	2400	185	2	310,000000
ACDC	2400	185	2	110,526316
ACDC	2400	185	2	64,912281
ACDC	2400	185	2	198,214286
ACDC	2400	185	2	446,600000
ACDC	2400	185	2	53,571429
ACDC	2400	185	2	77,192982
ACDC	2400	185	2	5,357143
ACDC	2400	185	2	80,357143
ACDC	2400	185	2	137,500000
ACDC	2400	185	2	76,785714
ACDC	2400	192	2	60,260000
ACDC	2400	192	2	162,440000
ACDC	2400	192	2	65,500000
ACDC	2400	193	2	30,250000
ACDC	2400	193	2	30,250000
ACDC	2400	194	2	96,960000
ACDC	2400	194	2	130,290000
ACDC	2400	194	2	153,000000
ACDC	2400	194	2	128,520000
ACDC	2400	195	2	55,080000
ACDC	2400	195	2	75,750000
ACDC	2400	195	2	106,050000
ACDC	2400	195	2	27,270000
ACDC	2400	195	2	45,450000
ACDC	2400	195	2	115,140000
ACDC	2400	196	2	12,240000
ACDC	2400	196	2	12,240000
ACDC	2400	196	2	12,240000
ACDC	2400	197	2	116,280000
ACDC	2400	197	2	85,680000
ACDC	2400	197	2	133,320000
ACDC	2400	197	2	203,010000
ACDC	2400	197	2	166,650000
ACDC	2400	197	2	131,580000
ACDC	2400	197	2	60,600000
ACDC	2400	198	2	195,840000
ACDC	2400	198	2	306,000000
ACDC	2400	198	2	153,000000
ACDC	2400	198	2	187,860000
ACDC	2400	198	2	85,680000
ACDC	2400	199	2	39,780000
ACDC	2400	199	2	30,600000
ACDC	2400	199	2	137,700000
ACDC	2400	200	2	236,340000
ACDC	2400	200	2	90,900000
ACDC	2400	200	2	90,900000
ACDC	2400	200	2	76,500000
ACDC	2400	201	2	90,000000
ACDC	2400	202	2	66,700000
ACDC	2400	202	2	133,950000
ACDC	2400	202	2	170,200000
ACDC	2400	210	2	
ACDC	2400	211	2	
ACDC	2400	212	2	37,020000
ACDC	2400	212	2	336,000000
ACDC	2400	212	2	252,000000
ACDC	2400	213	2	145,000000
ACDC	2400	213	2	116,000000
ACDC	2400	214	2	15,000000
ACDC	2400	214	2	150,000000
ACDC	2400	214	2	72,000000
ACDC	2400	214	2	80,000000
ACDC	2400	215	2	72,000000
ACDC	2400	215	2	72,000000
ACDC	2400	215	2	96,000000
ACDC	2400	216	2	137,700000
ACDC	2400	216	2	85,680000
ACDC	2400	216	2	149,940000
ACDC	2400	216	2	110,880000
ACDC	2400	216	2	160,160000
ACDC	2400	216	2	184,800000
ACDC	2400	218	2	101,790000
ACDC	2400	218	2	20,880000
ACDC	2400	218	2	122,670000
ACDC	2400	218	2	91,350000
ACDC	2400	218	2	54,810000
ACDC	2400	218	2	180,090000
ACDC	2400	218	2	143,550000
ACDC	2400	219	2	105,700000
ACDC	2400	219	2	102,680000
ACDC	2400	219	2	84,560000
ACDC	2400	219	2	48,320000
ACDC	2400	228	2	420,000000
ACDC	2400	228	2	240,500000
ACDC	2400	229	2	9,180000
ACDC	2400	229	2	30,600000
ACDC	2400	229	2	98,560000
ACDC	2400	232	2	166,320000
ACDC	2400	232	2	131,580000
ACDC	2400	232	2	137,700000
ACDC	2400	232	2	55,080000
ACDC	2400	232	2	144,760000
ACDC	2400	233	2	61,600000
ACDC	2400	233	2	67,760000
ACDC	2400	233	2	154,000000
ACDC	2400	233	2	198,900000
ACDC	2400	233	2	107,100000
ACDC	2400	233	2	107,800000
ACDC	2400	245	2	103,656000
ACDC	2400	245	2	129,570000
ACDC	2400	245	2	59,264000
ACDC	2400	245	2	157,335000
ACDC	2400	246	2	96,000000
ACDC	2400	246	2	165,321000
ACDC	2400	246	2	44,902000
ACDC	2400	247	2	65,000000
ACDC	2400	247	2	87,000000
ACDC	2400	247	2	160,000000
ACDC	2400	250	2	110,000000
ACDC	2400	250	2	48,000000
ACDC	2400	262	2	65,049180
ACDC	2400	262	2	90,229508
ACDC	2400	262	2	88,131148
ACDC	2400	262	2	31,475410
ACDC	2400	262	2	130,098361
ACDC	2400	263	2	73,442623
ACDC	2400	263	2	69,245902
ACDC	2400	263	2	27,278689
ACDC	2400	265	2	18,520000
ACDC	2400	265	2	37,020000
ACDC	2400	266	2	35,188000
ACDC	2400	266	2	101,860000
ACDC	2400	266	2	74,080000
ACDC	2400	266	2	151,782000
ACDC	2400	266	2	135,123000
