Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	93,5
ACDC	2400	23	2	93,5
ACDC	2400	23	2	134,75
ACDC	2400	39	2	42,3
ACDC	2400	39	2	148,05
ACDC	2400	39	2	164,5
ACDC	2400	39	2	220,9
ACDC	2400	40	2	205,4
ACDC	2400	40	2	299,0
ACDC	2400	40	2	299,0
ACDC	2400	40	2	325,0
ACDC	2400	41	2	78,0
ACDC	2400	41	2	169,0
ACDC	2400	41	2	67,6
ACDC	2400	42	2	122,2
ACDC	2400	42	2	111,8
ACDC	2400	55	2	57,04
ACDC	2400	55	2	57,04
ACDC	2400	55	2	42,16
ACDC	2400	55	2	59,52
ACDC	2400	55	2	37,2
ACDC	2400	55	2	19,68
ACDC	2400	55	2	54,12
ACDC	2400	56	2	111,19999999999999
ACDC	2400	56	2	152,9
ACDC	2400	56	2	61,16
ACDC	2400	57	2	161,23999999999998
ACDC	2400	57	2	166,8
ACDC	2400	57	2	150,11999999999998
ACDC	2400	58	2	222,4
ACDC	2400	59	2	150,12
ACDC	2400	59	2	55,599999999999994
ACDC	2400	60	2	113,98
ACDC	2400	60	2	69,5
ACDC	2400	60	2	116,76
ACDC	2400	72	2	234,9
ACDC	2400	72	2	102,11999999999999
ACDC	2400	72	2	171,11999999999998
ACDC	2400	73	2	108,5
ACDC	2400	73	2	139,5
ACDC	2400	73	2	201,5
ACDC	2400	73	2	71,3
ACDC	2400	74	2	98,0
ACDC	2400	74	2	196,0
ACDC	2400	74	2	168,0
ACDC	2400	74	2	84,0
ACDC	2400	74	2	196,0
ACDC	2400	75	2	43,2
ACDC	2400	75	2	144,0
ACDC	2400	76	2	35,0
ACDC	2400	76	2	102,0
ACDC	2400	76	2	500,0
ACDC	2400	88	2	2,54
ACDC	2400	88	2	2,54
ACDC	2400	89	2	
ACDC	2400	90	2	143,0
ACDC	2400	90	2	183,04
ACDC	2400	90	2	137,28
ACDC	2400	91	2	90,0
ACDC	2400	91	2	45,0
ACDC	2400	91	2	144,0
ACDC	2400	91	2	60,0
ACDC	2400	105	2	
ACDC	2400	106	2	63,5
ACDC	2400	109	2	175,74
ACDC	2400	109	2	12,24
ACDC	2400	109	2	130,29
ACDC	2400	110	2	198,9
ACDC	2400	110	2	107,1
ACDC	2400	110	2	130,29
ACDC	2400	110	2	128,52
ACDC	2400	112	2	90,44
ACDC	2400	112	2	21,28
ACDC	2400	112	2	50,540000000000006
ACDC	2400	112	2	53,2
ACDC	2400	113	2	88,848
ACDC	2400	113	2	98,103
ACDC	2400	113	2	31,484
ACDC	2400	113	2	150,012
ACDC	2400	113	2	133,344
ACDC	2400	122	2	
ACDC	2400	123	2	87,02
ACDC	2400	123	2	82,44
ACDC	2400	123	2	103,95
ACDC	2400	123	2	85,47
ACDC	2400	123	2	97,02
ACDC	2400	123	2	82,44
ACDC	2400	125	2	130,8
ACDC	2400	125	2	43,0
ACDC	2400	125	2	45,15
ACDC	2400	125	2	66,64999999999999
ACDC	2400	126	2	174,42
ACDC	2400	126	2	146,88
ACDC	2400	126	2	247,86
ACDC	2400	126	2	122,4
ACDC	2400	126	2	87,87
ACDC	2400	126	2	75,75
ACDC	2400	126	2	136,35
ACDC	2400	126	2	70,38
ACDC	2400	127	2	154,53
ACDC	2400	127	2	9,18
ACDC	2400	127	2	88,74
ACDC	2400	127	2	70,38
ACDC	2400	127	2	153,0
ACDC	2400	128	2	51,51
ACDC	2400	128	2	157,56
ACDC	2400	128	2	58,14
ACDC	2400	128	2	226,44
ACDC	2400	129	2	62,968
ACDC	2400	129	2	77,742
ACDC	2400	129	2	101,805
ACDC	2400	129	2	81,488
ACDC	2400	129	2	40,722
ACDC	2400	130	2	77,784
ACDC	2400	130	2	120,38000000000001
ACDC	2400	130	2	77,742
ACDC	2400	130	2	129,57
ACDC	2400	130	2	40,722
ACDC	2400	130	2	98,103
ACDC	2400	130	2	107,41600000000001
ACDC	2400	141	2	147,56
ACDC	2400	141	2	64,25999999999999
ACDC	2400	141	2	61,88
ACDC	2400	141	2	52,36
ACDC	2400	141	2	173,74
ACDC	2400	141	2	88,06
ACDC	2400	141	2	59,5
ACDC	2400	141	2	30,94
ACDC	2400	142	2	122,01
ACDC	2400	142	2	12,45
ACDC	2400	142	2	92,13000000000001
ACDC	2400	142	2	99,6
ACDC	2400	142	2	154,38
ACDC	2400	143	2	198,9
ACDC	2400	143	2	39,78
ACDC	2400	143	2	131,58
ACDC	2400	143	2	81,81
ACDC	2400	143	2	24,48
ACDC	2400	143	2	106,05
ACDC	2400	143	2	148,47
ACDC	2400	144	2	54,54
ACDC	2400	144	2	133,32
ACDC	2400	144	2	263,61
ACDC	2400	144	2	131,58
ACDC	2400	145	2	144,56
ACDC	2400	145	2	14,0
ACDC	2400	145	2	159,6
ACDC	2400	146	2	194,6
ACDC	2400	146	2	55,6
ACDC	2400	146	2	50,4
ACDC	2400	146	2	64,39999999999999
ACDC	2400	146	2	190,39999999999998
ACDC	2400	147	2	130,66
ACDC	2400	147	2	106,4
ACDC	2400	147	2	75,06
ACDC	2400	148	2	41,81818181818182
ACDC	2400	148	2	96,36363636363636
ACDC	2400	148	2	90,9090909090909
ACDC	2400	148	2	87,27272727272727
ACDC	2400	148	2	87,27272727272727
ACDC	2400	148	2	60,0
ACDC	2400	148	2	90,9090909090909
ACDC	2400	148	2	87,27272727272727
ACDC	2400	148	2	60,0
ACDC	2400	157	2	131,58
ACDC	2400	157	2	105,78
ACDC	2400	157	2	79,98
ACDC	2400	157	2	54,18
ACDC	2400	157	2	100,62
ACDC	2400	157	2	77,4
ACDC	2400	157	2	54,18
ACDC	2400	157	2	92,88
ACDC	2400	158	2	52,5
ACDC	2400	159	2	46,86
ACDC	2400	159	2	55,38
ACDC	2400	159	2	19,169999999999998
ACDC	2400	159	2	31,95
ACDC	2400	159	2	25,56
ACDC	2400	159	2	68,16
ACDC	2400	160	2	38,92
ACDC	2400	160	2	83,4
ACDC	2400	160	2	116,76
ACDC	2400	160	2	128,79999999999998
ACDC	2400	160	2	125,99999999999999
ACDC	2400	160	2	28,0
ACDC	2400	161	2	202,94
ACDC	2400	161	2	56,0
ACDC	2400	162	2	61,16
ACDC	2400	162	2	47,599999999999994
ACDC	2400	162	2	70,0
ACDC	2400	163	2	166,2
ACDC	2400	163	2	96,95
ACDC	2400	163	2	72,02
ACDC	2400	163	2	166,2
ACDC	2400	163	2	249,3
ACDC	2400	164	2	149,58
ACDC	2400	164	2	55,4
ACDC	2400	164	2	130,19
ACDC	2400	165	2	113,57
ACDC	2400	165	2	149,58
ACDC	2400	165	2	119,11
ACDC	2400	165	2	41,55
ACDC	2400	166	2	154,5
ACDC	2400	166	2	112,19642857142857
ACDC	2400	166	2	45,982142857142854
ACDC	2400	166	2	117,71428571428571
ACDC	2400	166	2	62,535714285714285
ACDC	2400	166	2	69,89285714285714
ACDC	2400	166	2	68,05357142857143
ACDC	2400	166	2	71,73214285714285
ACDC	2400	166	2	115,875
ACDC	2400	174	2	75,52
ACDC	2400	174	2	82,6
ACDC	2400	174	2	47,2
ACDC	2400	174	2	82,6
ACDC	2400	175	2	59,2
ACDC	2400	175	2	74,0
ACDC	2400	175	2	118,4
ACDC	2400	175	2	74,0
ACDC	2400	176	2	27,839999999999996
ACDC	2400	176	2	20,88
ACDC	2400	176	2	27,84
ACDC	2400	176	2	20,88
ACDC	2400	176	2	20,88
ACDC	2400	177	2	102,49
ACDC	2400	177	2	160,66
ACDC	2400	177	2	60,94
ACDC	2400	177	2	96,95
ACDC	2400	178	2	44,32
ACDC	2400	178	2	108,03
