Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance	ESPECE	MALE	DATE	OBSERVATEUR	PASSAGE	NOMBRE
ACDC	2400	23	2	151,25	ALAARV	OUI	2019-05-07 00:00:00	JFC	A	1,0
ACDC	2400	23	2	184,25	ALAARV	OUI	2019-05-07 00:00:00	JFC	A	1,0
ACDC	2400	23	2	115,5	ALAARV	OUI	1er Juin 2019	JFC	B	1,0
ACDC	2400	39	2	63,45	ALAARV	OUI	2019-05-07 00:00:00	JFC	A	1,0
ACDC	2400	39	2	133,95	ALAARV	OUI	2019-05-07 00:00:00	JFC	A	1,0
ACDC	2400	39	2	47,0	ALAARV	OUI	1er Juin 2019	JFC	B	1,0
ACDC	2400	39	2	77,55	ALAARV	OUI	1er Juin 2019	JFC	B	1,0
ACDC	2400	40	2	88,4	ALAARV	OUI	2019-05-07 00:00:00	JFC	A	1,0
ACDC	2400	40	2	130,0	ALAARV	OUI	2019-05-07 00:00:00	JFC	A	1,0
ACDC	2400	40	2	187,2	ALAARV	OUI	1er Juin 2019	JFC	B	1,0
ACDC	2400	40	2	249,6	ALAARV	OUI	1er Juin 2019	JFC	B	1,0
ACDC	2400	56	2	55,6	ALAARV	OUI	2019-05-01 00:00:00	JFC	A	1,0
ACDC	2400	56	2	211,28	ALAARV	OUI	2019-05-31 00:00:00	JFC	B	1,0
ACDC	2400	58	2	113,98	ALAARV	OUI	2019-05-01 00:00:00	JFC	A	1,0
ACDC	2400	58	2	202,94	ALAARV	OUI	2019-05-01 00:00:00	JFC	A	1,0
ACDC	2400	58	2	119,54	ALAARV	OUI	2019-05-31 00:00:00	JFC	B	1,0
ACDC	2400	59	2	166,8	ALAARV	OUI	2019-05-01 00:00:00	JFC	A	1,0
ACDC	2400	60	2	55,6	ALAARV	OUI	2019-05-01 00:00:00	JFC	A	1,0
ACDC	2400	60	2	91,74	ALAARV	OUI	2019-05-31 00:00:00	JFC	B	1,0
ACDC	2400	73	2	93,0	ALAARV	OUI	2019-05-01 00:00:00	Acl	A	1,0
ACDC	2400	73	2	217,0	ALAARV	OUI	2019-05-01 00:00:00	Acl	A	1,0
ACDC	2400	73	2	145,7	ALAARV	OUI	2019-05-01 00:00:00	Acl	A	1,0
ACDC	2400	73	2	155,0	ALAARV	OUI	2019-06-05 00:00:00	Acl	B	1,0
ACDC	2400	74	2	98,0	ALAARV	OUI	2019-05-01 00:00:00	Acl	A	1,0
ACDC	2400	74	2	112,0	ALAARV	OUI	2019-06-05 00:00:00	Acl	B	1,0
ACDC	2400	75	2	201,6	ALAARV	OUI	2019-06-05 00:00:00	Acl	B	1,0
ACDC	2400	89	2	179,2	ALAARV	OUI	2019-06-08 00:00:00	CF	B	1,0
ACDC	2400	90	2	246,4	ALAARV	OUI	2019-05-01 00:00:00	Acl	A	1,0
ACDC	2400	90	2	77,22	ALAARV	OUI	2019-06-05 00:00:00	Acl	B	1,0
ACDC	2400	90	2	125,84	ALAARV	OUI	2019-06-05 00:00:00	Acl	B	1,0
ACDC	2400	91	2	114,0	ALAARV	OUI	2019-05-01 00:00:00	Acl	A	1,0
ACDC	2400	91	2	126,0	ALAARV	OUI	2019-06-05 00:00:00	Acl	B	1,0
ACDC	2400	105	2	80,0	ALAARV	OUI	2019-06-08 00:00:00	CF	B	1,0
ACDC	2400	109	2	127,26	ALAARV	OUI	2019-04-23 00:00:00	FG	A	1,0
ACDC	2400	109	2	189,72	ALAARV	OUI	2019-05-30 00:00:00	FG	B	1,0
ACDC	2400	126	2	60,6	ALAARV	OUI	2019-04-23 00:00:00	FG	A	1,0
ACDC	2400	126	2	142,41	ALAARV	OUI	2019-04-23 00:00:00	FG	A	1,0
ACDC	2400	126	2	189,72	ALAARV	OUI	2019-05-30 00:00:00	FG	B	1,0
ACDC	2400	126	2	146,88	ALAARV	OUI	2019-05-30 00:00:00	FG	B	1,0
ACDC	2400	127	2	127,26	ALAARV	OUI	2019-04-23 00:00:00	FG	A	1,0
ACDC	2400	127	2	181,8	ALAARV	OUI	2019-04-23 00:00:00	FG	A	1,0
ACDC	2400	127	2	61,2	ALAARV	OUI	2019-05-30 00:00:00	FG	B	1,0
ACDC	2400	128	2	232,56	ALAARV	OUI	2019-05-30 00:00:00	FG	B	1,0
ACDC	2400	143	2	72,72	ALAARV	OUI	2019-04-23 00:00:00	FG	A	1,0
ACDC	2400	143	2	78,78	ALAARV	OUI	2019-04-23 00:00:00	FG	A	1,0
ACDC	2400	143	2	181,8	ALAARV	OUI	2019-04-23 00:00:00	FG	A	1,0
ACDC	2400	143	2	100,98	ALAARV	OUI	2019-05-30 00:00:00	FG	B	1,0
ACDC	2400	143	2	58,14	ALAARV	OUI	2019-05-30 00:00:00	FG	B	1,0
