Ref	Passage	Observateur	Point	DateHeure	Espece	nMalAd10	nAutAd10	nMalAd5	nAutAd5	distMem
4446066	a	Cyrille Jallageas	194	2019-04-07 07:40:00	Mésange noire	1	0	1	0	24,9606330209045
4446096	a	Cyrille Jallageas	194	2019-04-07 07:41:00	Pinson des arbres	1	0	1	0	80,7914842071552
4446095	a	Cyrille Jallageas	194	2019-04-07 07:41:00	Pinson des arbres	1	0	1	0	102,554474885934
4446097	a	Cyrille Jallageas	194	2019-04-07 07:42:00	Mésange bleue	1	0	1	0	43,7257977387556
4446098	a	Cyrille Jallageas	194	2019-04-07 07:42:00	Mésange nonnette	1	0	1	0	49,2618554158065
4446062	a	Cyrille Jallageas	194	2019-04-07 07:42:00	Bruant zizi	1	0	1	0	69,1728982854307
4446061	a	Cyrille Jallageas	194	2019-04-07 07:42:00	Pouillot véloce	1	0	1	0	102,257397840765
4446099	a	Cyrille Jallageas	194	2019-04-07 07:43:00	Alouette des champs	2	0	2	0	73,1088920519477
4446101	a	Cyrille Jallageas	194	2019-04-07 07:44:00	Geai des chênes	0	1	0	1	30,3439103651818
4446100	a	Cyrille Jallageas	194	2019-04-07 07:44:00	Geai des chênes	0	1	0	1	65,966710790426
4446102	a	Cyrille Jallageas	194	2019-04-07 07:44:00	Pigeon ramier	1	0	1	0	129,169235786498
4446104	a	Cyrille Jallageas	194	2019-04-07 07:45:00	Grimpereau des jardins	1	0	0	0	81,4559208465815
4446103	a	Cyrille Jallageas	194	2019-04-07 07:45:00	Pigeon ramier	1	0	0	0	86,4808530685552
4446063	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Troglodyte mignon	1	0	0	0	36,0135679204489
4446064	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Alouette lulu	1	0	0	0	50,6558130162114
4446105	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Rougequeue noir	1	0	0	0	104,114803024612
4446106	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Tourterelle turque	1	1	0	0	134,50384189803
4446065	a	Cyrille Jallageas	194	2019-04-07 07:46:00	Mésange charbonnière	1	0	0	0	187,78234298681
4446107	a	Cyrille Jallageas	194	2019-04-07 07:47:00	Bruant jaune	1	0	0	0	31,1656734957903
