Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	
ACDC	2400	39	2	115,15
ACDC	2400	40	2	351,0
ACDC	2400	40	2	273,0
ACDC	2400	41	2	117,0
ACDC	2400	42	2	75,4
ACDC	2400	55	2	74,4
ACDC	2400	55	2	131,44
ACDC	2400	55	2	44,64
ACDC	2400	55	2	59,04
ACDC	2400	56	2	152,9
ACDC	2400	56	2	105,63999999999999
ACDC	2400	57	2	
ACDC	2400	58	2	230,73999999999998
ACDC	2400	58	2	100,08
ACDC	2400	58	2	164,02
ACDC	2400	59	2	119,54
ACDC	2400	60	2	180,7
ACDC	2400	60	2	208,49999999999997
ACDC	2400	60	2	258,54
ACDC	2400	72	2	116,1
ACDC	2400	73	2	
ACDC	2400	74	2	
ACDC	2400	75	2	
ACDC	2400	76	2	500,0
ACDC	2400	88	2	
ACDC	2400	89	2	229,6
ACDC	2400	89	2	229,6
ACDC	2400	89	2	266,0
ACDC	2400	89	2	266,0
ACDC	2400	90	2	
ACDC	2400	91	2	102,0
ACDC	2400	105	2	
ACDC	2400	106	2	
ACDC	2400	109	2	212,1
ACDC	2400	110	2	192,78
ACDC	2400	112	2	
ACDC	2400	113	2	233,352
ACDC	2400	122	2	132,75
ACDC	2400	122	2	132,75
ACDC	2400	123	2	174,04
ACDC	2400	123	2	114,5
ACDC	2400	123	2	124,74
ACDC	2400	125	2	111,8
ACDC	2400	125	2	146,2
ACDC	2400	126	2	520,2
ACDC	2400	127	2	
ACDC	2400	128	2	263,16
ACDC	2400	129	2	161,124
ACDC	2400	130	2	
ACDC	2400	141	2	171,36
ACDC	2400	142	2	112,05
ACDC	2400	143	2	
ACDC	2400	144	2	201,96
ACDC	2400	145	2	210,0
ACDC	2400	146	2	210,0
ACDC	2400	147	2	
ACDC	2400	148	2	147,27272727272728
ACDC	2400	148	2	94,54545454545455
ACDC	2400	148	2	87,27272727272727
ACDC	2400	148	2	90,9090909090909
ACDC	2400	157	2	108,36
ACDC	2400	158	2	102,5
ACDC	2400	158	2	180,0
ACDC	2400	158	2	162,5
ACDC	2400	158	2	137,5
ACDC	2400	159	2	
ACDC	2400	160	2	88,96
ACDC	2400	161	2	
ACDC	2400	162	2	251,99999999999997
ACDC	2400	163	2	
ACDC	2400	164	2	232,68
ACDC	2400	165	2	105,26
ACDC	2400	166	2	66,21428571428571
ACDC	2400	166	2	103,0
ACDC	2400	166	2	112,19642857142857
ACDC	2400	166	2	69,89285714285714
ACDC	2400	174	2	146,32
ACDC	2400	175	2	
ACDC	2400	176	2	13,92
ACDC	2400	176	2	150,79999999999998
ACDC	2400	177	2	171,74
ACDC	2400	177	2	166,2
ACDC	2400	178	2	235,45
ACDC	2400	178	2	260,38
ACDC	2400	178	2	207,75
ACDC	2400	179	2	
ACDC	2400	180	2	45,9
ACDC	2400	180	2	215,6
ACDC	2400	181	2	154,0
ACDC	2400	182	2	150,6140350877193
ACDC	2400	182	2	93,78571428571429
ACDC	2400	182	2	104,60714285714286
ACDC	2400	182	2	187,57142857142858
ACDC	2400	183	2	210,951
ACDC	2400	183	2	205,542
ACDC	2400	183	2	341,25
ACDC	2400	183	2	216,42857142857144
ACDC	2400	183	2	189,375
ACDC	2400	184	2	330,1518987341772
ACDC	2400	184	2	185,64285714285714
ACDC	2400	184	2	95,28571428571428
ACDC	2400	184	2	269,01265822784814
ACDC	2400	184	2	246,72727272727272
ACDC	2400	185	2	237,25
ACDC	2400	185	2	92,98245614035088
ACDC	2400	185	2	462,55
ACDC	2400	185	2	180,35714285714286
ACDC	2400	185	2	207,14285714285717
ACDC	2400	192	2	
ACDC	2400	193	2	126,5
ACDC	2400	193	2	200,75
ACDC	2400	193	2	126,5
ACDC	2400	194	2	134,64000000000001
ACDC	2400	194	2	121,19999999999999
ACDC	2400	195	2	153,0
ACDC	2400	196	2	236,33999999999997
ACDC	2400	197	2	
ACDC	2400	198	2	
ACDC	2400	199	2	321,3
ACDC	2400	200	2	
ACDC	2400	201	2	102,0
ACDC	2400	201	2	500,0
ACDC	2400	202	2	128,79999999999998
ACDC	2400	210	2	74,48
ACDC	2400	210	2	756,0
ACDC	2400	211	2	
ACDC	2400	212	2	124,017
ACDC	2400	213	2	85,0
ACDC	2400	213	2	160,0
ACDC	2400	213	2	188,0
ACDC	2400	213	2	188,0
ACDC	2400	214	2	
ACDC	2400	215	2	216,0
ACDC	2400	216	2	138,6
ACDC	2400	218	2	159,20999999999998
ACDC	2400	218	2	208,8
ACDC	2400	218	2	247,95
ACDC	2400	218	2	232,29
ACDC	2400	218	2	232,29
ACDC	2400	219	2	
ACDC	2400	228	2	212,865
ACDC	2400	228	2	840,0
ACDC	2400	229	2	275,4
ACDC	2400	229	2	159,12
ACDC	2400	229	2	101,64
ACDC	2400	232	2	184,8
ACDC	2400	233	2	
ACDC	2400	245	2	203,61
ACDC	2400	246	2	185,731
ACDC	2400	246	2	336,0
ACDC	2400	246	2	378,0
ACDC	2400	246	2	146,0
ACDC	2400	246	2	260,0
ACDC	2400	246	2	146,0
ACDC	2400	246	2	80,0
ACDC	2400	247	2	207,0
ACDC	2400	247	2	184,0
ACDC	2400	247	2	170,0
ACDC	2400	247	2	140,0
ACDC	2400	247	2	90,0
ACDC	2400	247	2	103,0
ACDC	2400	250	2	
ACDC	2400	262	2	218,22950819672133
ACDC	2400	263	2	
ACDC	2400	265	2	138,9
ACDC	2400	265	2	144,378
ACDC	2400	265	2	210,0
ACDC	2400	266	2	120,315
ACDC	2400	266	2	319,2
ACDC	2400	266	2	252,0
ACDC	2400	266	2	83,295
ACDC	2400	266	2	192,504
ACDC	2400	266	2	129,57
ACDC	2400	266	2	111,06
ACDC	2400	280	2	178,36065573770492
ACDC	2400	280	2	176,2622950819672
ACDC	2400	281	2	199,344262295082
ACDC	2400	282	2	
ACDC	2400	283	2	186,1818181818182
ACDC	2400	283	2	155,9272727272727
ACDC	2400	283	2	130,3272727272727
ACDC	2400	284	2	137,25
ACDC	2400	284	2	134,73684210526315
ACDC	2400	299	2	155,27868852459017
ACDC	2400	299	2	146,88524590163937
ACDC	2400	299	2	176,2622950819672
ACDC	2400	300	2	
ACDC	2400	301	2	182,55737704918033
ACDC	2400	301	2	178,36065573770492
