Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	115,5
ACDC	2400	39	2	105,75
ACDC	2400	40	2	
ACDC	2400	41	2	
ACDC	2400	42	2	62,400000000000006
ACDC	2400	55	2	
ACDC	2400	56	2	
ACDC	2400	57	2	
ACDC	2400	58	2	83,4
ACDC	2400	59	2	
ACDC	2400	60	2	122,32
ACDC	2400	72	2	
ACDC	2400	73	2	
ACDC	2400	74	2	28,0
ACDC	2400	75	2	
ACDC	2400	76	2	
ACDC	2400	88	2	
ACDC	2400	89	2	
ACDC	2400	90	2	
ACDC	2400	91	2	
ACDC	2400	105	2	
ACDC	2400	106	2	88,9
ACDC	2400	106	2	88,9
ACDC	2400	109	2	
ACDC	2400	110	2	181,8
ACDC	2400	112	2	
ACDC	2400	113	2	57,412000000000006
ACDC	2400	122	2	
ACDC	2400	123	2	
ACDC	2400	125	2	
ACDC	2400	126	2	160,59
ACDC	2400	126	2	137,7
ACDC	2400	127	2	24,48
ACDC	2400	127	2	72,72
ACDC	2400	127	2	64,26
ACDC	2400	128	2	
ACDC	2400	129	2	
ACDC	2400	130	2	
ACDC	2400	141	2	
ACDC	2400	142	2	
ACDC	2400	143	2	118,17
ACDC	2400	143	2	159,12
ACDC	2400	144	2	99,99
ACDC	2400	144	2	72,72
ACDC	2400	144	2	206,04
ACDC	2400	144	2	85,68
ACDC	2400	145	2	5,56
ACDC	2400	145	2	131,6
ACDC	2400	146	2	
ACDC	2400	147	2	
ACDC	2400	148	2	120,0
ACDC	2400	148	2	54,54545454545455
ACDC	2400	157	2	162,54
ACDC	2400	157	2	69,66
ACDC	2400	157	2	64,5
ACDC	2400	158	2	
ACDC	2400	159	2	8,52
ACDC	2400	160	2	
ACDC	2400	161	2	70,0
ACDC	2400	161	2	69,5
ACDC	2400	162	2	44,8
ACDC	2400	163	2	110,8
ACDC	2400	163	2	124,65
ACDC	2400	164	2	
ACDC	2400	165	2	
ACDC	2400	166	2	
ACDC	2400	174	2	
ACDC	2400	175	2	35,52
ACDC	2400	176	2	
ACDC	2400	177	2	
ACDC	2400	178	2	55,4
ACDC	2400	178	2	149,58
ACDC	2400	179	2	
ACDC	2400	180	2	
ACDC	2400	181	2	138,6
ACDC	2400	182	2	95,58928571428572
ACDC	2400	183	2	
ACDC	2400	184	2	
ACDC	2400	185	2	61,40350877192982
ACDC	2400	192	2	
ACDC	2400	193	2	
ACDC	2400	194	2	
ACDC	2400	195	2	
ACDC	2400	196	2	91,8
ACDC	2400	196	2	48,48
ACDC	2400	196	2	175,73999999999998
ACDC	2400	197	2	
ACDC	2400	198	2	133,32
ACDC	2400	199	2	75,75
ACDC	2400	200	2	
ACDC	2400	201	2	
ACDC	2400	202	2	
ACDC	2400	210	2	57,456
ACDC	2400	211	2	
ACDC	2400	212	2	31,467
ACDC	2400	213	2	
ACDC	2400	214	2	
ACDC	2400	215	2	
ACDC	2400	216	2	61,6
ACDC	2400	216	2	168,3
ACDC	2400	218	2	
ACDC	2400	219	2	
ACDC	2400	228	2	
ACDC	2400	229	2	
ACDC	2400	232	2	
ACDC	2400	233	2	
ACDC	2400	245	2	46,3
ACDC	2400	246	2	
ACDC	2400	247	2	
ACDC	2400	250	2	
ACDC	2400	262	2	
ACDC	2400	263	2	
ACDC	2400	265	2	
ACDC	2400	266	2	
ACDC	2400	280	2	
ACDC	2400	281	2	86,03278688524591
ACDC	2400	282	2	
ACDC	2400	283	2	
ACDC	2400	284	2	
ACDC	2400	299	2	
ACDC	2400	300	2	
ACDC	2400	301	2	
