Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	151,25
ACDC	2400	23	2	184,25
ACDC	2400	23	2	115,5
ACDC	2400	39	2	63,45
ACDC	2400	39	2	133,95
ACDC	2400	39	2	47,0
ACDC	2400	39	2	77,55
ACDC	2400	40	2	88,4
ACDC	2400	40	2	130,0
ACDC	2400	40	2	187,2
ACDC	2400	40	2	249,6
ACDC	2400	56	2	55,6
ACDC	2400	56	2	211,28
ACDC	2400	58	2	113,98
ACDC	2400	58	2	202,94
ACDC	2400	58	2	119,54
ACDC	2400	59	2	166,8
ACDC	2400	60	2	55,6
ACDC	2400	60	2	91,74
ACDC	2400	73	2	93,0
ACDC	2400	73	2	217,0
ACDC	2400	73	2	145,7
ACDC	2400	73	2	155,0
ACDC	2400	74	2	98,0
ACDC	2400	74	2	112,0
ACDC	2400	75	2	201,6
ACDC	2400	89	2	179,2
ACDC	2400	90	2	246,4
ACDC	2400	90	2	77,22
ACDC	2400	90	2	125,84
ACDC	2400	91	2	114,0
ACDC	2400	91	2	126,0
ACDC	2400	105	2	80,0
ACDC	2400	109	2	127,26
ACDC	2400	109	2	189,72
ACDC	2400	126	2	60,6
ACDC	2400	126	2	142,41
ACDC	2400	126	2	189,72
ACDC	2400	126	2	146,88
ACDC	2400	127	2	127,26
ACDC	2400	127	2	181,8
ACDC	2400	127	2	61,2
ACDC	2400	128	2	232,56
ACDC	2400	143	2	72,72
ACDC	2400	143	2	78,78
ACDC	2400	143	2	181,8
ACDC	2400	143	2	100,98
ACDC	2400	143	2	58,14
ACDC	2400	143	2	174,42
ACDC	2400	144	2	48,48
ACDC	2400	144	2	45,9
ACDC	2400	145	2	144,56
ACDC	2400	145	2	224,0
ACDC	2400	146	2	155,68
ACDC	2400	146	2	50,4
ACDC	2400	146	2	72,8
ACDC	2400	146	2	140,0
ACDC	2400	148	2	167,2727272727273
ACDC	2400	148	2	118,1818181818182
ACDC	2400	148	2	156,3636363636363
ACDC	2400	148	2	96,36363636363636
ACDC	2400	148	2	74,54545454545455
ACDC	2400	148	2	236,0
ACDC	2400	157	2	116,1
ACDC	2400	157	2	123,84
ACDC	2400	160	2	148,4
ACDC	2400	161	2	97,3
ACDC	2400	161	2	112,0
ACDC	2400	162	2	136,22
ACDC	2400	162	2	144,56
ACDC	2400	162	2	196,0
ACDC	2400	162	2	106,4
ACDC	2400	162	2	154,0
ACDC	2400	162	2	140,0
ACDC	2400	163	2	55,4
ACDC	2400	163	2	180,05
ACDC	2400	163	2	188,36
ACDC	2400	164	2	127,42
ACDC	2400	164	2	80,33
ACDC	2400	164	2	74,79
ACDC	2400	164	2	138,5
ACDC	2400	164	2	155,12
ACDC	2400	165	2	124,65
ACDC	2400	165	2	166,2
ACDC	2400	165	2	138,5
ACDC	2400	165	2	110,8
ACDC	2400	166	2	132,4285714285714
ACDC	2400	166	2	217,0357142857143
ACDC	2400	166	2	167,375
ACDC	2400	175	2	82,88
ACDC	2400	178	2	144,04
ACDC	2400	178	2	196,67
ACDC	2400	178	2	163,43
ACDC	2400	178	2	108,03
ACDC	2400	178	2	144,04
ACDC	2400	178	2	138,5
ACDC	2400	179	2	166,2
ACDC	2400	179	2	94,18
ACDC	2400	179	2	41,55
ACDC	2400	179	2	119,11
ACDC	2400	179	2	166,2
ACDC	2400	179	2	113,57
ACDC	2400	179	2	49,86
ACDC	2400	179	2	83,1
ACDC	2400	179	2	113,57
ACDC	2400	179	2	182,82
ACDC	2400	179	2	168,97
ACDC	2400	180	2	169,4
ACDC	2400	181	2	104,72
ACDC	2400	182	2	120,4912280701754
ACDC	2400	182	2	156,9107142857143
ACDC	2400	182	2	70,33928571428572
ACDC	2400	183	2	75,726
ACDC	2400	183	2	106,377
ACDC	2400	183	2	120,801
ACDC	2400	183	2	183,906
ACDC	2400	183	2	196,0
ACDC	2400	183	2	39,67857142857143
ACDC	2400	183	2	95,58928571428572
ACDC	2400	183	2	243,75
ACDC	2400	183	2	243,75
ACDC	2400	184	2	184,0
ACDC	2400	184	2	188,1818181818182
ACDC	2400	184	2	158,9090909090909
ACDC	2400	184	2	129,6363636363636
ACDC	2400	184	2	154,4285714285714
ACDC	2400	184	2	147,8571428571429
ACDC	2400	184	2	228,0
ACDC	2400	185	2	191,0714285714286
ACDC	2400	185	2	175,0
ACDC	2400	185	2	87,71929824561403
ACDC	2400	185	2	114,0350877192982
ACDC	2400	185	2	94,73684210526315
ACDC	2400	194	2	127,26
ACDC	2400	194	2	236,34
ACDC	2400	194	2	97,92
ACDC	2400	194	2	168,3
ACDC	2400	195	2	72,72
ACDC	2400	195	2	159,12
ACDC	2400	195	2	153,0
ACDC	2400	195	2	107,1
ACDC	2400	196	2	163,62
ACDC	2400	196	2	122,4
ACDC	2400	197	2	149,94
ACDC	2400	197	2	85,68
ACDC	2400	198	2	45,45
ACDC	2400	198	2	299,97
ACDC	2400	198	2	110,16
ACDC	2400	198	2	168,3
ACDC	2400	199	2	121,2
ACDC	2400	199	2	115,14
ACDC	2400	199	2	145,44
ACDC	2400	199	2	186,66
ACDC	2400	199	2	73,44
ACDC	2400	199	2	76,5
ACDC	2400	200	2	121,2
ACDC	2400	200	2	184,83
ACDC	2400	200	2	76,5
ACDC	2400	200	2	122,4
ACDC	2400	201	2	102,0
ACDC	2400	201	2	175,0
ACDC	2400	201	2	180,0
ACDC	2400	202	2	105,75
ACDC	2400	202	2	75,89999999999999
ACDC	2400	202	2	135,7
ACDC	2400	202	2	138,0
ACDC	2400	210	2	87,248
ACDC	2400	210	2	74,48
ACDC	2400	210	2	138,32
ACDC	2400	210	2	89,376
ACDC	2400	211	2	27,765
ACDC	2400	211	2	53,679
ACDC	2400	211	2	64,785
ACDC	2400	211	2	98,156
ACDC	2400	211	2	100,008
ACDC	2400	211	2	90,748
ACDC	2400	211	2	70,376
ACDC	2400	212	2	105,507
ACDC	2400	215	2	96,0
ACDC	2400	215	2	100,0
ACDC	2400	215	2	96,0
ACDC	2400	215	2	120,0
ACDC	2400	216	2	116,28
ACDC	2400	216	2	73,92
ACDC	2400	216	2	107,8
ACDC	2400	219	2	84,56
ACDC	2400	219	2	123,82
ACDC	2400	228	2	61,083
ACDC	2400	228	2	74,04
ACDC	2400	228	2	51,8
ACDC	2400	228	2	88,80000000000001
ACDC	2400	228	2	118,4
ACDC	2400	229	2	125,46
ACDC	2400	229	2	123,2
ACDC	2400	232	2	61,2
ACDC	2400	232	2	140,76
ACDC	2400	232	2	137,7
ACDC	2400	232	2	226,44
ACDC	2400	232	2	61,6
ACDC	2400	232	2	138,6
ACDC	2400	232	2	160,16
ACDC	2400	233	2	52,02
ACDC	2400	233	2	195,84
ACDC	2400	233	2	138,6
ACDC	2400	233	2	169,4
ACDC	2400	233	2	83,16
ACDC	2400	233	2	61,6
ACDC	2400	245	2	96,252
ACDC	2400	246	2	90,0
ACDC	2400	250	2	84,0
ACDC	2400	263	2	83,9344262295082
ACDC	2400	263	2	117,5081967213115
ACDC	2400	281	2	104,9180327868852
ACDC	2400	281	2	100,7213114754098
ACDC	2400	282	2	193,1228070175438
ACDC	2400	282	2	85,33333333333333
ACDC	2400	282	2	130,2456140350877
ACDC	2400	41	2	
ACDC	2400	42	2	
ACDC	2400	55	2	
ACDC	2400	57	2	
ACDC	2400	72	2	
ACDC	2400	76	2	
ACDC	2400	88	2	
ACDC	2400	106	2	
ACDC	2400	110	2	
ACDC	2400	112	2	
ACDC	2400	113	2	
ACDC	2400	122	2	
ACDC	2400	123	2	
ACDC	2400	125	2	
ACDC	2400	129	2	
ACDC	2400	130	2	
ACDC	2400	141	2	
ACDC	2400	142	2	
ACDC	2400	147	2	
ACDC	2400	158	2	
ACDC	2400	159	2	
ACDC	2400	174	2	
ACDC	2400	176	2	
ACDC	2400	177	2	
ACDC	2400	192	2	
ACDC	2400	193	2	
ACDC	2400	213	2	
ACDC	2400	214	2	
ACDC	2400	218	2	
ACDC	2400	247	2	
ACDC	2400	262	2	
ACDC	2400	265	2	
ACDC	2400	266	2	
ACDC	2400	280	2	
ACDC	2400	283	2	
ACDC	2400	284	2	
ACDC	2400	299	2	
ACDC	2400	300	2	
ACDC	2400	301	2	
