Module	Statistic	Figure	en	fr
encounter rate	number of observations (n)	Value	NObs	NObs
encounter rate	number of samples (k)	Value	NSamp	NEchant
encounter rate	effort (L or K or T)	Value	Effort	Effort
encounter rate	encounter rate (n/L or n/K or n/T)	Value	EncRate	TxContact
encounter rate	encounter rate (n/L or n/K or n/T)	Cv	ConfInd EncRate	IndConf TxContact
encounter rate	encounter rate (n/L or n/K or n/T)	Lcl	Min EncRate	Min TxContact
encounter rate	encounter rate (n/L or n/K or n/T)	Ucl	Max EncRate	Max TxContact
encounter rate	encounter rate (n/L or n/K or n/T)	Df	DoF EncRate	DegLib TxContact
encounter rate	left truncation distance	Value	LeftTruncDist	DistTroncGche
encounter rate	right truncation distance (w)	Value	RightTruncDist	DistTroncDte
detection probability	total number of parameters (m)	Value	TotNumPars	NbTotPars
detection probability	AIC value	Value	AIC	AIC
detection probability	chi-square test probability (distance set 1)	Value	Chi2 P 1	Chi2 P 1
detection probability	chi-square test probability (distance set 2)	Value	Chi2 P 2	Chi2 P 2
detection probability	chi-square test probability (distance set 3)	Value	Chi2 P 3	Chi2 P 3
detection probability	f(0) or h(0)	Value	f/h(0)	f/h(0)
detection probability	f(0) or h(0)	Cv	ConfInd f/h(0)	IndConf f/h(0)
detection probability	f(0) or h(0)	Lcl	Min f/h(0)	Min f/h(0)
detection probability	f(0) or h(0)	Ucl	Max f/h(0)	Max f/h(0)
detection probability	f(0) or h(0)	Df	DoF f/h(0)	DegLib f/h(0)
detection probability	probability of detection (Pw)	Value	PDetec	PDetec
detection probability	probability of detection (Pw)	Cv	ConfInd PDetec	IndConf PDetec
detection probability	probability of detection (Pw)	Lcl	Min PDetec	Min PDetec
detection probability	probability of detection (Pw)	Ucl	Max PDetec	Max PDetec
detection probability	probability of detection (Pw)	Df	DoF PDetec	DegLib PDetec
detection probability	effective strip width (ESW) or effective detection radius (EDR)	Value	EDR/ESW	EDR/ESW
detection probability	effective strip width (ESW) or effective detection radius (EDR)	Cv	ConfInd EDR/ESW	IndConf EDR/ESW
detection probability	effective strip width (ESW) or effective detection radius (EDR)	Lcl	Min EDR/ESW	Min EDR/ESW
detection probability	effective strip width (ESW) or effective detection radius (EDR)	Ucl	Max EDR/ESW	Max EDR/ESW
detection probability	effective strip width (ESW) or effective detection radius (EDR)	Df	DoF EDR/ESW	DegLib EDR/ESW
detection probability	AICc	Value	AICc	AICc
detection probability	BIC	Value	BIC	BIC
detection probability	Log likelihood	Value	LogLhood	LogProba
detection probability	Kolmogorov-Smirnov test probability	Value	KS P	KS P
detection probability	Cramér-von Mises (uniform weighting) test probability	Value	CvM Uw P	CvM Uw P
detection probability	Cramér-von Mises (cosine weighting) test probability	Value	CvM Cw P	CvM Cw P
detection probability	key function type	Value	KeyFn	FnClé
detection probability	adjustment series type	Value	AdjSer	SérAjust
detection probability	number of key function parameters (NKP)	Value	NumKFnPars	NbParsFnClé
detection probability	number of adjustment term parameters (NAP)	Value	NumASerPars	NbParsSérAjust
detection probability	number of covariate parameters (NCP)	Value	NumCovars	NbCovars
detection probability	estimated value of A(1) adjustment term parameter	Value	EstA(1)	EstA(1)
detection probability	estimated value of A(2) adjustment term parameter	Value	EstA(2)	EstA(2)
detection probability	estimated value of A(3) adjustment term parameter	Value	EstA(3)	EstA(3)
detection probability	estimated value of A(4) adjustment term parameter	Value	EstA(4)	EstA(4)
detection probability	estimated value of A(5) adjustment term parameter	Value	EstA(5)	EstA(5)
detection probability	estimated value of A(6) adjustment term parameter	Value	EstA(6)	EstA(6)
detection probability	estimated value of A(7) adjustment term parameter	Value	EstA(7)	EstA(7)
detection probability	estimated value of A(8) adjustment term parameter	Value	EstA(8)	EstA(8)
detection probability	estimated value of A(9) adjustment term parameter	Value	EstA(9)	EstA(9)
detection probability	estimated value of A(10) adjustment term parameter	Value	EstA(10)	EstA(10)
cluster size	average cluster size	Value	AvgClustSz	TailMoyClust
cluster size	average cluster size	Cv	ConfInd AvgClustSz	IndConf TailMoyClust
cluster size	average cluster size	Lcl	Min AvgClustSz	Min TailMoyClust
cluster size	average cluster size	Ucl	Max AvgClustSz	Max TailMoyClust
cluster size	average cluster size	Df	DoF AvgClustSz	DegLib TailMoyClust
cluster size	size-bias regression correlation (r)	Value	SzBias RegCorr	CorrReg BiaisTail
cluster size	p-value for correlation significance (r-p)	Value	CorSignPVal	PVal SignifCorr
cluster size	estimate of expected cluster size corrected for size bias	Value	EstExpFixedCluSz	TailCorrCluAttEst
cluster size	estimate of expected cluster size corrected for size bias	Cv	ConfInd EstExpFixedCluSz	IndConf TailCorrCluAttEst
cluster size	estimate of expected cluster size corrected for size bias	Lcl	Min EstExpFixedCluSz	Min TailCorrCluAttEst
cluster size	estimate of expected cluster size corrected for size bias	Ucl	Max EstExpFixedCluSz	Max TailCorrCluAttEst
cluster size	estimate of expected cluster size corrected for size bias	Df	DoF EstExpFixedCluSz	DegLib TailCorrCluAttEst
density/abundance	density of clusters (or animal density if non-clustered)	Value	DensClu	DensClu
density/abundance	density of clusters (or animal density if non-clustered)	Cv	ConfInd DensClu	IndConf DensClu
density/abundance	density of clusters (or animal density if non-clustered)	Lcl	Min DensClu	Min DensClu
density/abundance	density of clusters (or animal density if non-clustered)	Ucl	Max DensClu	Max DensClu
